Year Mnth Day Hr,PRCP(mm/day),SRAD(W/m2),Tmax(C),Tmin(C)
1998 02 03 12,67.39,107.26,5.52,5.52
1998 02 04 12,49.73,117.14,2.92,2.92
1998 02 05 12,0.07,354.13,0.55,0.55
1998 02 06 12,0.14,368.17,0.82,0.82
1998 02 07 12,0,274.57,2.49,2.49
1998 02 08 12,0.12,237.57,3.42,3.42
1998 02 09 12,0.33,245.01,4.5,4.5
1998 02 10 12,0.55,258.61,4.61,4.61
1998 02 11 12,8.54,165.18,6.04,6.04
1998 02 12 12,1.49,369.99,5.48,5.48
1998 02 13 12,0,321.72,3.64,3.64
1998 02 14 12,0,370.55,3.53,3.53
1998 02 15 12,0,403.12,2.34,2.34
1998 02 16 12,64.56,133.86,4.28,4.28
1998 02 17 12,26.12,230.64,9.33,9.33
1998 02 18 12,2.89,222.94,6.29,6.29
1998 02 19 12,0.07,388.15,5.97,5.97
1998 02 20 12,0.04,328.36,7.25,7.25
1998 02 21 12,0,364.79,4.84,4.84
1998 02 22 12,1.51,258.68,4.39,4.39
1998 02 23 12,24.29,158.58,4.83,4.83
1998 02 24 12,0.16,423.54,4.83,4.83
1998 02 25 12,0,426.81,8.47,8.47
1998 02 26 12,0,400.75,10.35,10.35
1998 02 27 12,20.84,353.92,10.21,10.21
1998 02 28 12,0.07,435.49,11.3,11.3
1998 03 01 12,0.04,453.84,8.65,8.65
1998 03 02 12,0.22,322.54,3.09,3.09
1998 03 03 12,0.23,288.67,-0.29,-0.29
1998 03 04 12,0.08,334.38,1.11,1.11
1998 03 05 12,0.18,233.36,4.1,4.1
1998 03 06 12,3.2,177.02,6.35,6.35
1998 03 07 12,15.78,165.89,7.78,7.78
1998 03 08 12,59.85,247.12,12.16,12.16
1998 03 09 12,39.39,296.92,9.12,9.12
1998 03 10 12,0.04,401.95,-1.4,-1.4
1998 03 11 12,0.25,464.51,-3.71,-3.71
1998 03 12 12,0.26,492.76,-5.35,-5.35
1998 03 13 12,0.04,344.83,-3.36,-3.36
1998 03 14 12,0,463.71,2.87,2.87
1998 03 15 12,0,488.21,5.7,5.7
1998 03 16 12,2.47,117.5,6.41,6.41
1998 03 17 12,2.43,224.02,5.19,5.19
1998 03 18 12,18.81,197.89,7.37,7.37
1998 03 19 12,13.23,474.94,12.51,12.51
1998 03 20 12,19.03,362.9,11.85,11.85
1998 03 21 12,0.41,351.94,3.14,3.14
1998 03 22 12,0,488.22,1.83,1.83
1998 03 23 12,0,276.35,3.63,3.63
1998 03 24 12,2.56,428.94,6.3,6.3
1998 03 25 12,0.49,271.34,8.29,8.29
1998 03 26 12,0.06,495.73,11.04,11.04
1998 03 27 12,0,447.33,14.35,14.35
1998 03 28 12,0,494.03,15.88,15.88
1998 03 29 12,0,490.82,16.23,16.23
1998 03 30 12,0,500.1,17.09,17.09
1998 03 31 12,4.07,383.12,17.52,17.52
1998 04 01 12,21.49,436.19,15.99,15.99
1998 04 02 12,6.04,524.77,12.62,12.62
1998 04 03 12,24.03,213.96,11.79,11.79
1998 04 04 12,7.58,437.33,9.56,9.56
1998 04 05 12,0,538.14,6.44,6.44
1998 04 06 12,0,533.14,9.45,9.45
1998 04 07 12,0,458.55,11.8,11.8
1998 04 08 12,1.64,361.88,15.69,15.69
1998 04 09 12,27.39,440.57,13.28,13.28
1998 04 10 12,0.92,240.77,6.13,6.13
1998 04 11 12,0.43,543.38,6.55,6.55
1998 04 12 12,0,542.82,8.63,8.63
1998 04 13 12,1.24,361.54,10.17,10.17
1998 04 14 12,11.8,303.28,10.82,10.82
1998 04 15 12,2.35,402.74,13.81,13.81
1998 04 16 12,2.83,278.37,15.81,15.81
1998 04 17 12,51.7,415.61,17.28,17.28
1998 04 18 12,12.48,277.88,13.05,13.05
1998 04 19 12,26.07,208.75,13.79,13.79
1998 04 20 12,0.74,512.55,9.35,9.35
1998 04 21 12,0.58,364.14,10.12,10.12
1998 04 22 12,23.83,267.56,8.21,8.21
1998 04 23 12,6.01,355.89,7.93,7.93
1998 04 24 12,0.97,506.08,10.72,10.72
1998 04 25 12,0.21,537.67,12.58,12.58
1998 04 26 12,0.11,526.86,14.11,14.11
1998 04 27 12,0.36,413.37,15.19,15.19
1998 04 28 12,0.73,366.19,11.56,11.56
1998 04 29 12,0.03,315.35,11.72,11.72
1998 04 30 12,43.11,268.16,13.95,13.95
1998 05 01 12,11.8,471.57,13.82,13.82
1998 05 02 12,2.75,396.45,10.77,10.77
1998 05 03 12,3.09,422.22,13.7,13.7
1998 05 04 12,2.37,531.26,13.04,13.04
1998 05 05 12,0.35,578.81,12.81,12.81
1998 05 06 12,0.38,471.91,15.74,15.74
1998 05 07 12,22.17,341.07,16.81,16.81
1998 05 08 12,6.49,463.38,17.33,17.33
1998 05 09 12,0.17,539.63,15.89,15.89
1998 05 10 12,18.77,385.28,17.76,17.76
1998 05 11 12,3.36,574.45,15.53,15.53
1998 05 12 12,0,583.26,15.86,15.86
1998 05 13 12,0.18,568.33,18.32,18.32
1998 05 14 12,0,476.45,21.12,21.12
1998 05 15 12,0.12,571.08,22.55,22.55
1998 05 16 12,0,533.36,23.02,23.02
1998 05 17 12,0.06,510.6,22.1,22.1
1998 05 18 12,0,547.75,20.9,20.9
1998 05 19 12,0,578.79,21.19,21.19
1998 05 20 12,0,543.71,21.52,21.52
1998 05 21 12,0,547.87,22.17,22.17
1998 05 22 12,0.29,567.95,22.28,22.28
1998 05 23 12,0,490.76,22.36,22.36
1998 05 24 12,0.78,441.69,22.16,22.16
1998 05 25 12,0,390.38,22.21,22.21
1998 05 26 12,0.43,537.79,22.47,22.47
1998 05 27 12,2.46,399.81,22.43,22.43
1998 05 28 12,0.84,449.06,22.22,22.22
1998 05 29 12,1.66,476.07,22.61,22.61
1998 05 30 12,0.81,481.67,22.81,22.81
1998 05 31 12,0,500.66,22.03,22.03
1998 06 01 12,7.62,514.16,22.87,22.87
1998 06 02 12,21.55,440.95,22.32,22.32
1998 06 03 12,0,543.63,24.46,24.46
1998 06 04 12,25.47,295.29,22.76,22.76
1998 06 05 12,16.19,383.8,20.53,20.53
1998 06 06 12,3.22,488.57,19.16,19.16
1998 06 07 12,0.33,576.86,13.7,13.7
1998 06 08 12,0.2,465.93,14.68,14.68
1998 06 09 12,19.35,216.47,15.82,15.82
1998 06 10 12,17.55,327.36,20.2,20.2
1998 06 11 12,0.36,462,22.8,22.8
1998 06 12 12,0.13,386.38,22.91,22.91
1998 06 13 12,0.03,542.13,23,23
1998 06 14 12,0.14,403.96,20.89,20.89
1998 06 15 12,7.42,503.28,23.48,23.48
1998 06 16 12,7.34,439.02,22.38,22.38
1998 06 17 12,0.43,564.14,20.9,20.9
1998 06 18 12,1.84,523.56,23.05,23.05
1998 06 19 12,10.31,292.1,23.22,23.22
1998 06 20 12,0.03,560.37,21.48,21.48
1998 06 21 12,5.08,407.57,23.1,23.1
1998 06 22 12,0.2,516.89,24.42,24.42
1998 06 23 12,1.26,545.57,25.54,25.54
1998 06 24 12,0.59,514.83,25.49,25.49
1998 06 25 12,1.86,519.54,26.24,26.24
1998 06 26 12,2.36,507.01,25.76,25.76
1998 06 27 12,0.61,517.82,25.88,25.88
1998 06 28 12,0.14,528.52,24.85,24.85
1998 06 29 12,1.49,472.1,24.53,24.53
1998 06 30 12,3.44,496,24.52,24.52
1998 07 01 12,0.31,491.56,23.15,23.15
1998 07 02 12,0.1,545.09,22.09,22.09
1998 07 03 12,0.1,534.49,23.3,23.3
1998 07 04 12,2.77,483.53,23.37,23.37
1998 07 05 12,5.3,519.47,22.43,22.43
1998 07 06 12,4.07,395.34,22.53,22.53
1998 07 07 12,0,476.02,22.98,22.98
1998 07 08 12,0.34,435.75,24.45,24.45
1998 07 09 12,0.05,502.59,24.48,24.48
1998 07 10 12,0.05,498.07,23.76,23.76
1998 07 11 12,0,408.45,22.73,22.73
1998 07 12 12,0,347.31,21.77,21.77
1998 07 13 12,1.37,333.22,21.43,21.43
1998 07 14 12,0.29,216.71,21.14,21.14
1998 07 15 12,0,404.28,21.87,21.87
1998 07 16 12,7.66,356.41,23.05,23.05
1998 07 17 12,9.83,457.42,23.09,23.09
1998 07 18 12,1.27,535.76,23.21,23.21
1998 07 19 12,2.46,534.24,25.07,25.07
1998 07 20 12,3.03,520.3,25.87,25.87
1998 07 21 12,7.28,542.73,25.65,25.65
1998 07 22 12,4.52,408.48,24.55,24.55
1998 07 23 12,18.38,403.14,23.13,23.13
1998 07 24 12,0.05,375.17,22.65,22.65
1998 07 25 12,1.76,315.24,22.18,22.18
1998 07 26 12,0.03,367.17,21.18,21.18
1998 07 27 12,3.57,260.09,20.99,20.99
1998 07 28 12,0.57,539.17,22.37,22.37
1998 07 29 12,0,481.27,23.84,23.84
1998 07 30 12,0.5,502.14,23.56,23.56
1998 07 31 12,1.08,365.32,23.35,23.35
1998 08 01 12,0,421.87,20.49,20.49
1998 08 02 12,0,572.43,19.72,19.72
1998 08 03 12,0,578.49,18.81,18.81
1998 08 04 12,0.04,570.86,19.79,19.79
1998 08 05 12,0.17,567.34,20.93,20.93
1998 08 06 12,0,564.36,21.15,21.15
1998 08 07 12,0,211.73,19.5,19.5
1998 08 08 12,10.61,421.44,20.65,20.65
1998 08 09 12,17.21,278.39,20.77,20.77
1998 08 10 12,3.28,479.85,21.04,21.04
1998 08 11 12,3.93,495.91,22.12,22.12
1998 08 12 12,9.96,434.96,23.19,23.19
1998 08 13 12,6.91,353.37,22.92,22.92
1998 08 14 12,2.27,372.3,21.4,21.4
1998 08 15 12,14.06,364.36,20.85,20.85
1998 08 16 12,9.14,333.05,21.22,21.22
1998 08 17 12,0.57,469.12,21.56,21.56
1998 08 18 12,0.2,518.5,22.72,22.72
1998 08 19 12,1.26,489.22,23.07,23.07
1998 08 20 12,1.32,499.46,22.44,22.44
1998 08 21 12,0.07,521.43,21.7,21.7
1998 08 22 12,0,561.82,21.9,21.9
1998 08 23 12,0,556.59,23.08,23.08
1998 08 24 12,0,563.11,22.35,22.35
1998 08 25 12,0.1,556.46,22.49,22.49
1998 08 26 12,0,538.83,23.42,23.42
1998 08 27 12,0,557.64,23.19,23.19
1998 08 28 12,0,547.64,22.85,22.85
1998 08 29 12,0.08,527.7,23.22,23.22
1998 08 30 12,0.83,513.33,23.77,23.77
1998 08 31 12,0.04,518.68,24.73,24.73
1998 09 01 12,1.22,479.07,23.47,23.47
1998 09 02 12,0.07,502.53,22.57,22.57
1998 09 03 12,0.26,325.64,20.31,20.31
1998 09 04 12,0.01,509.94,20.27,20.27
1998 09 05 12,0.21,480.09,23.08,23.08
1998 09 06 12,2.18,463.25,23.85,23.85
1998 09 07 12,0.04,498.4,23.44,23.44
1998 09 08 12,1.67,416.26,22.13,22.13
1998 09 09 12,0,529.49,14.55,14.55
1998 09 10 12,0,521.6,14.31,14.31
1998 09 11 12,0,509.2,17.08,17.08
1998 09 12 12,0,507.2,18.98,18.98
1998 09 13 12,0,498.3,21.35,21.35
1998 09 14 12,0,492.52,22.3,22.3
1998 09 15 12,0.02,481.3,21.71,21.71
1998 09 16 12,0.07,486.16,22.58,22.58
1998 09 17 12,0.11,475.72,22.29,22.29
1998 09 18 12,0.08,405.51,22.25,22.25
1998 09 19 12,0.37,391.25,21.51,21.51
1998 09 20 12,0,385.4,21.29,21.29
1998 09 21 12,25.4,213.13,19.24,19.24
1998 09 22 12,0,456.93,20.5,20.5
1998 09 23 12,0,463.26,19.37,19.37
1998 09 24 12,0.11,380.71,18.26,18.26
1998 09 25 12,0,477.43,18.44,18.44
1998 09 26 12,0,473.3,20.45,20.45
1998 09 27 12,0.05,463.32,22.35,22.35
1998 09 28 12,2.82,295.32,22.82,22.82
1998 09 29 12,27.6,274.12,21.91,21.91
1998 09 30 12,4.34,378.2,20.88,20.88
1998 10 01 12,0.04,479.43,20.76,20.76
1998 10 02 12,0,480.65,16.58,16.58
1998 10 03 12,1.25,286.5,16.15,16.15
1998 10 04 12,10.51,296.07,18.39,18.39
1998 10 05 12,28.94,335.06,18.67,18.67
1998 10 06 12,14.76,366.18,18.46,18.46
1998 10 07 12,28.88,194.34,16.21,16.21
1998 10 08 12,46.71,391.77,16.75,16.75
1998 10 09 12,0,401.09,13.31,13.31
1998 10 10 12,0.14,463.25,12.63,12.63
1998 10 11 12,0,463.24,14.32,14.32
1998 10 12 12,0.09,456.92,15.2,15.2
1998 10 13 12,0.05,402.63,15.1,15.1
1998 10 14 12,0,454.39,13.52,13.52
1998 10 15 12,0,451.44,14.64,14.64
1998 10 16 12,0.68,449.84,15.25,15.25
1998 10 17 12,0.03,437.13,14.76,14.76
1998 10 18 12,0.13,436.67,15.35,15.35
1998 10 19 12,0.48,308.43,17.44,17.44
1998 10 20 12,0.05,426.8,17.07,17.07
1998 10 21 12,0.08,229.44,12.6,12.6
1998 10 22 12,0.05,449.34,7.99,7.99
1998 10 23 12,0.02,440.4,4.62,4.62
1998 10 24 12,0.02,435.04,9.26,9.26
1998 10 25 12,0,356.87,12.28,12.28
1998 10 26 12,0,420.49,14.34,14.34
1998 10 27 12,0,417.3,15.07,15.07
1998 10 28 12,0.11,414.5,15.02,15.02
1998 10 29 12,0.29,393.85,15.82,15.82
1998 10 30 12,0,351.16,17.43,17.43
1998 10 31 12,0,404.32,16.74,16.74
1998 11 01 12,0,366.99,14.96,14.96
1998 11 02 12,4.94,183.88,15.2,15.2
1998 11 03 12,9.63,344.82,14.14,14.14
1998 11 04 12,0.15,327.73,11.64,11.64
1998 11 05 12,1,190.43,8.51,8.51
1998 11 06 12,0,358.83,4.99,4.99
1998 11 07 12,0,355.5,3.55,3.55
1998 11 08 12,2.11,125.27,5.15,5.15
1998 11 09 12,5.97,113.04,8.26,8.26
1998 11 10 12,12.81,162.37,13.04,13.04
1998 11 11 12,39.45,330.61,12.1,12.1
1998 11 12 12,0.01,352.84,7.5,7.5
1998 11 13 12,0.42,222.64,10.14,10.14
1998 11 14 12,14.1,87.15,10.51,10.51
1998 11 15 12,12.85,327.51,12.92,12.92
1998 11 16 12,21.92,103.82,10.78,10.78
1998 11 17 12,1.9,340.29,11.9,11.9
1998 11 18 12,0,340.02,9.21,9.21
1998 11 19 12,0,201.62,10.16,10.16
1998 11 20 12,1.06,109.14,11.92,11.92
1998 11 21 12,0.27,319.57,6.88,6.88
1998 11 22 12,0.08,334.95,6.48,6.48
1998 11 23 12,1.1,173.43,9.37,9.37
1998 11 24 12,0.04,308.61,13.52,13.52
1998 11 25 12,0,223.68,12.9,12.9
1998 11 26 12,1.85,329.54,11.93,11.93
1998 11 27 12,0.05,324.51,9.22,9.22
1998 11 28 12,0,320.91,11.66,11.66
1998 11 29 12,0,322.07,11.86,11.86
1998 11 30 12,0,317.69,11.63,11.63
1998 12 01 12,0.21,327.26,12.53,12.53
1998 12 02 12,0,325.59,11.01,11.01
1998 12 03 12,0,299.56,12.51,12.51
1998 12 04 12,0.11,320.94,14.13,14.13
1998 12 05 12,0.51,291.95,15.04,15.04
1998 12 06 12,0.04,313.08,16.27,16.27
1998 12 07 12,0.75,166.58,15.32,15.32
1998 12 08 12,12.11,120.74,15.23,15.23
1998 12 09 12,2.83,325.92,11.41,11.41
1998 12 10 12,0.37,270.4,6.79,6.79
1998 12 11 12,0.48,115.39,8.61,8.61
1998 12 12 12,2.12,84.98,5.38,5.38
1998 12 13 12,42.9,213.3,7.47,7.47
1998 12 14 12,0.15,260.34,6.06,6.06
1998 12 15 12,0.19,274.51,2.11,2.11
1998 12 16 12,0.26,324.78,4.6,4.6
1998 12 17 12,0.03,238.63,2.53,2.53
1998 12 18 12,2.89,323.45,0.55,0.55
1998 12 19 12,9.68,75.24,2.88,2.88
1998 12 20 12,0.21,284.02,8.83,8.83
1998 12 21 12,0.97,93.13,11.11,11.11
1998 12 22 12,10.26,214.15,10.62,10.62
1998 12 23 12,21.29,89.38,2.21,2.21
1998 12 24 12,28.18,91.44,1.3,1.3
1998 12 25 12,5.57,293.83,0.83,0.83
1998 12 26 12,0,318.67,1.27,1.27
1998 12 27 12,1.92,288.72,2.46,2.46
1998 12 28 12,5.6,91,3.11,3.11
1998 12 29 12,0.81,200.41,4.19,4.19
1998 12 30 12,0.37,331.49,-0.44,-0.44
1998 12 31 12,0.01,311.08,0.01,0.01
1999 01 01 12,0,295.9,0.51,0.51
1999 01 02 12,19.49,110.94,0.59,0.59
1999 01 03 12,26.9,319.33,0.22,0.22
1999 01 04 12,0.01,331.43,-7.62,-7.62
1999 01 05 12,0,333.82,-9.84,-9.84
1999 01 06 12,0.08,118.66,-6.05,-6.05
1999 01 07 12,1.78,267.71,1.88,1.88
1999 01 08 12,9,101.56,4.35,4.35
1999 01 09 12,9.79,219.71,6.18,6.18
1999 01 10 12,0,336.12,-4.03,-4.03
1999 01 11 12,0,327.91,-0.1,-0.1
1999 01 12 12,0,261.06,3.74,3.74
1999 01 13 12,0.04,277.66,6.48,6.48
1999 01 14 12,9.36,77.53,9.42,9.42
1999 01 15 12,20.31,338.64,5.57,5.57
1999 01 16 12,0,336.26,4.35,4.35
1999 01 17 12,1.14,173.6,4.31,4.31
1999 01 18 12,14.82,309.27,7.03,7.03
1999 01 19 12,0,339.32,5.01,5.01
1999 01 20 12,0.24,256.64,7.07,7.07
1999 01 21 12,0.31,325.71,11.77,11.77
1999 01 22 12,0.99,278.77,14.9,14.9
1999 01 23 12,54.34,167.22,14.15,14.15
1999 01 24 12,11.07,337.42,10.08,10.08
1999 01 25 12,0,349.19,6.72,6.72
1999 01 26 12,0,348.8,7.14,7.14
1999 01 27 12,0.07,355.2,8.94,8.94
1999 01 28 12,0,348.94,12.08,12.08
1999 01 29 12,0.12,199.08,12.49,12.49
1999 01 30 12,15.71,83.27,9.62,9.62
1999 01 31 12,22.61,103,2.55,2.55
1999 02 01 12,61.85,148.62,0.51,0.51
1999 02 02 12,2.07,355.78,6.1,6.1
1999 02 03 12,0.02,368.74,8.41,8.41
1999 02 04 12,1.69,376.02,8.81,8.81
1999 02 05 12,0.04,385.12,6.34,6.34
1999 02 06 12,0,236.33,7.6,7.6
1999 02 07 12,2.64,202.94,11.64,11.64
1999 02 08 12,0.41,377.23,10.96,10.96
1999 02 09 12,0.37,276.71,10.48,10.48
1999 02 10 12,15.69,358.19,13.39,13.39
1999 02 11 12,2.31,329.59,13.98,13.98
1999 02 12 12,0.39,207.69,11.5,11.5
1999 02 13 12,0,321.01,-1.9,-1.9
1999 02 14 12,0,410.43,-2.66,-2.66
1999 02 15 12,0,406.79,1.78,1.78
1999 02 16 12,0,404.52,4.4,4.4
1999 02 17 12,24.27,166.03,8.02,8.02
1999 02 18 12,20.76,363.31,9.3,9.3
1999 02 19 12,14.94,213.69,6.02,6.02
1999 02 20 12,0.15,404.5,4.03,4.03
1999 02 21 12,0,265.83,1.83,1.83
1999 02 22 12,0,441.41,-3.66,-3.66
1999 02 23 12,0.08,149.57,-2.21,-2.21
1999 02 24 12,0.9,398.35,-0.92,-0.92
1999 02 25 12,0,286.07,1.78,1.78
1999 02 26 12,0.33,436.97,4.7,4.7
1999 02 27 12,3.77,130.7,6.75,6.75
1999 02 28 12,20.01,347.01,9.34,9.34
1999 03 01 12,1.8,453.99,4.14,4.14
1999 03 02 12,0.13,450.56,6.11,6.11
1999 03 03 12,21.37,139.09,5.48,5.48
1999 03 04 12,0.86,468.51,-1.38,-1.38
1999 03 05 12,0,440.91,3.42,3.42
1999 03 06 12,3.47,363.37,6.52,6.52
1999 03 07 12,0.04,481.47,3.58,3.58
1999 03 08 12,0.04,347.75,0.38,0.38
1999 03 09 12,9.14,242.36,0.35,0.35
1999 03 10 12,2.01,458.68,2.02,2.02
1999 03 11 12,1.03,294.88,0.76,0.76
1999 03 12 12,0.81,493.64,1.89,1.89
1999 03 13 12,0.32,166.3,2.28,2.28
1999 03 14 12,25,227.95,3.52,3.52
1999 03 15 12,2.65,433.51,4.01,4.01
1999 03 16 12,0,490.36,5.62,5.62
1999 03 17 12,0,490.95,9.25,9.25
1999 03 18 12,0,480.86,10.46,10.46
1999 03 19 12,0,320.11,8.03,8.03
1999 03 20 12,0,466.7,9.12,9.12
1999 03 21 12,14.25,258.85,9.42,9.42
1999 03 22 12,0.14,512.88,4.6,4.6
1999 03 23 12,0.04,455.31,7.75,7.75
1999 03 24 12,1.8,418.38,11.5,11.5
1999 03 25 12,1.65,321,10.3,10.3
1999 03 26 12,14.76,203.73,5.11,5.11
1999 03 27 12,7,378.57,3.75,3.75
1999 03 28 12,2.61,501.96,7.21,7.21
1999 03 29 12,1.91,167.09,8.39,8.39
1999 03 30 12,0.25,490.63,8.39,8.39
1999 03 31 12,17.67,150.26,8.71,8.71
1999 04 01 12,61.44,345.59,12.72,12.72
1999 04 02 12,0,425.5,15.85,15.85
1999 04 03 12,0.03,482.65,17.68,17.68
1999 04 04 12,0.02,447.98,19.01,19.01
1999 04 05 12,0.01,517.01,17.75,17.75
1999 04 06 12,1.3,305.34,14.91,14.91
1999 04 07 12,0.29,444.96,16.88,16.88
1999 04 08 12,3.37,356.77,17.98,17.98
1999 04 09 12,0.38,470.75,19.11,19.11
1999 04 10 12,0,511.95,16.58,16.58
1999 04 11 12,0,446.82,18.59,18.59
1999 04 12 12,0,543.31,10.31,10.31
1999 04 13 12,0,502.65,7.61,7.61
1999 04 14 12,0.51,248.66,9.04,9.04
1999 04 15 12,9.33,303.64,11.74,11.74
1999 04 16 12,0.05,549.85,8.09,8.09
1999 04 17 12,0,446.55,5.41,5.41
1999 04 18 12,0,416.42,5.48,5.48
1999 04 19 12,0,538.74,8.25,8.25
1999 04 20 12,4.94,511.99,12.75,12.75
