Year Mnth Day Hr,PRCP(mm/day)_nldas,srad(W/m2)_daymet,tmax(C)_daymet,tmin(C)_daymet
1998 08 28 12,0,459.98,32.7,17.05
1998 08 29 12,0.08,446.99,31.8,16.99
1998 08 30 12,0.83,439.88,32.3,17.53
1998 08 31 12,0.04,428.29,30.78,16.75
1998 09 01 12,1.22,456.46,30.81,15.15
1998 09 02 12,0.07,444.37,29.19,14.47
1998 09 03 12,0.26,422.07,28.52,15.04
1998 09 04 12,0.01,249.36,21.51,14.77
1998 09 05 12,0.21,470.91,31.1,14.62
1998 09 06 12,2.18,436.88,31.28,15.79
1998 09 07 12,0.04,366.37,29.86,15.73
1998 09 08 12,1.67,409.58,30.46,16.88
1998 09 09 12,0,496.52,26.4,6.82
1998 09 10 12,0,508.68,24.39,5.56
1998 09 11 12,0,509.47,25.79,6.18
1998 09 12 12,0,501.64,27.93,8.07
1998 09 13 12,0,480.25,30.76,11.39
1998 09 14 12,0,451.94,31.32,13.37
1998 09 15 12,0.02,407.31,29.65,14.34
1998 09 16 12,0.07,389.37,28.46,14.05
1998 09 17 12,0.11,389.26,29.07,14.41
1998 09 18 12,0.08,376.34,29.37,15.23
1998 09 19 12,0.37,345.1,28.6,15.88
1998 09 20 12,0,346.32,27.33,14.7
1998 09 21 12,25.4,213.69,27.52,17.31
1998 09 22 12,0,192.92,25.75,16.83
1998 09 23 12,0,390.24,28.74,13.81
1998 09 24 12,0.11,318.98,25.11,13.98
1998 09 25 12,0,351.49,23.31,11.06
1998 09 26 12,0,408.72,26.83,11.13
1998 09 27 12,0.05,408.12,27.99,11.93
1998 09 28 12,2.82,384.27,29.01,14.01
1998 09 29 12,27.6,246.38,25.33,16.78
1998 09 30 12,4.34,124.64,21.97,16.49
1998 10 01 12,0.04,293.67,24.92,13.53
1998 10 02 12,0,448.25,26.02,7.01
1998 10 03 12,1.25,391.08,21.59,7.16
1998 10 04 12,10.51,195.64,20.32,11.51
1998 10 05 12,28.94,177.41,25.06,16.77
1998 10 06 12,14.76,140.34,23.06,16.73
1998 10 07 12,28.88,72.91,19.06,16.15
1998 10 08 12,46.71,127.6,20.71,15.26
1998 10 09 12,0,409.14,22.43,6.92
1998 10 10 12,0.14,409.34,20.28,5.04
1998 10 11 12,0,405.05,21.56,6.34
1998 10 12 12,0.09,404.95,23.45,7.87
1998 10 13 12,0.05,388.01,22.37,8.04
1998 10 14 12,0,392.3,20.95,6.41
1998 10 15 12,0,425.99,20.85,3.47
1998 10 16 12,0.68,418.97,21.3,4.15
1998 10 17 12,0.03,394.99,21.17,5.76
1998 10 18 12,0.13,383.86,21.15,6.29
1998 10 19 12,0.48,329.26,20.11,8.35
1998 10 20 12,0.05,278.57,21.88,12.21
1998 10 21 12,0.08,354.22,21.72,8.27
1998 10 22 12,0.05,376.25,17.66,2.96
1998 10 23 12,0.02,399.59,14.04,-2.46
1998 10 24 12,0.02,409.61,16.37,-1.92
1998 10 25 12,0,407.19,20.48,1.06
1998 10 26 12,0,396.6,21.44,2.67
1998 10 27 12,0,394.34,22.64,3.39
1998 10 28 12,0.11,385.82,22.79,4.02
1998 10 29 12,0.29,366.42,23.25,5.76
1998 10 30 12,0,337.95,23.88,8.11
1998 10 31 12,0,336.22,24.46,8.43
1998 11 01 12,0,352.32,23.12,5.88
1998 11 02 12,4.94,309,21.16,7.28
1998 11 03 12,9.63,137.44,18.04,10.54
1998 11 04 12,0.15,307.75,19.29,5.31
1998 11 05 12,1,244.13,14.79,4.3
1998 11 06 12,0,175.6,9.25,2.17
1998 11 07 12,0,265.96,9.71,-1.89
1998 11 08 12,2.11,245.02,9.88,-0.53
1998 11 09 12,5.97,94.94,9.73,4.72
1998 11 10 12,12.81,96.81,13.91,8.8
1998 11 11 12,39.45,157.55,16.29,7.42
1998 11 12 12,0.01,329.24,15.37,-0.76
1998 11 13 12,0.42,310.19,14.96,0.33
1998 11 14 12,14.1,117.18,12.96,6.58
1998 11 15 12,12.85,119.07,14.55,8.06
1998 11 16 12,21.92,303.45,17.96,3.71
1998 11 17 12,1.9,183.34,15.42,4.93
1998 11 18 12,0,323.57,18.21,1.76
1998 11 19 12,0,256.54,14.18,2.87
1998 11 20 12,1.06,167.94,13.64,6.72
1998 11 21 12,0.27,296.53,14.22,0.32
1998 11 22 12,0.08,311.43,12,-3.03
1998 11 23 12,1.1,313.72,13.17,-2.26
1998 11 24 12,0.04,215.79,15.18,6.09
1998 11 25 12,0,265.96,19.33,7.17
1998 11 26 12,1.85,278.91,15.53,2.88
1998 11 27 12,0.05,315.08,16.69,0.64
1998 11 28 12,0,328.69,18.44,0.17
1998 11 29 12,0,330.01,19.48,0.38
1998 11 30 12,0,325.91,19.94,1.1
1998 12 01 12,0.21,297.05,18.6,3.53
1998 12 02 12,0,322.85,19.72,0.87
1998 12 03 12,0,309.17,18.81,1.59
1998 12 04 12,0.11,295.91,19.39,3.44
1998 12 05 12,0.51,278.9,19.11,4.62
1998 12 06 12,0.04,232.65,19.76,8.43
1998 12 07 12,0.75,226.15,20.71,9.59
1998 12 08 12,12.11,113.6,20.68,13.61
1998 12 09 12,2.83,208.1,19.36,4
1998 12 10 12,0.37,291.49,14.35,-1.85
1998 12 11 12,0.48,239.52,12.09,-0.62
1998 12 12 12,2.12,95.77,10.17,4.99
1998 12 13 12,42.9,108.85,10.68,4.24
1998 12 14 12,0.15,148.7,12.82,4.68
1998 12 15 12,0.19,290.58,10.94,-4.99
1998 12 16 12,0.26,283.48,10.54,-4.57
1998 12 17 12,0.03,282.78,14.38,-1.39
1998 12 18 12,2.89,237.12,4.95,-6.5
1998 12 19 12,9.68,259.77,7.37,-5.69
1998 12 20 12,0.21,123.48,9.08,1.44
1998 12 21 12,0.97,190.01,15.04,4.75
1998 12 22 12,10.26,118.7,15.98,8.46
1998 12 23 12,21.29,168.36,11,0.32
1998 12 24 12,28.18,54.08,2.22,-0.59
1998 12 25 12,5.57,83.03,3.15,-1.38
1998 12 26 12,0,122.92,2.25,-2.71
1998 12 27 12,1.92,244.71,6.8,-4.15
1998 12 28 12,5.6,216.76,5.65,-3.44
1998 12 29 12,0.81,138.41,5.93,-1.32
1998 12 30 12,0.37,262.82,7.07,-4.01
1998 12 31 12,0.01,176.72,2,-4.48
1999 01 01 12,0,253.06,6.84,-4.48
1999 01 02 12,19.49,263.63,8.24,-3.59
1999 01 03 12,26.9,105.85,3.31,-2.23
1999 01 04 12,0.01,297.77,2.43,-11.63
1999 01 05 12,0,251.12,-3.89,-14.37
1999 01 06 12,0.08,255.46,-2.79,-13.48
1999 01 07 12,1.78,197.8,2.49,-7.22
1999 01 08 12,9,168.15,9.73,1.24
1999 01 09 12,9.79,112.33,8.87,3
1999 01 10 12,0,333.94,8.4,-9.57
1999 01 11 12,0,285.19,4.31,-8.18
1999 01 12 12,0,291.32,8.91,-4.36
1999 01 13 12,0.04,263.98,10.84,-0.57
1999 01 14 12,9.36,146.54,10.98,3.12
1999 01 15 12,20.31,210.18,11.34,-1.04
1999 01 16 12,0,294.04,9.32,-3.84
1999 01 17 12,1.14,322.97,12.76,-2.91
1999 01 18 12,14.82,172.47,11.58,2.35
1999 01 19 12,0,313.07,12.36,-2.08
1999 01 20 12,0.24,329.74,14.91,-1.11
1999 01 21 12,0.31,312.32,16.19,1.95
1999 01 22 12,0.99,203.13,14.88,5.71
1999 01 23 12,54.34,76.83,15.53,11.67
1999 01 24 12,11.07,173.26,14.77,5.75
1999 01 25 12,0,309.59,12.06,-1.24
1999 01 26 12,0,356.09,17.09,-0.84
1999 01 27 12,0.07,335.85,14.27,-0.82
1999 01 28 12,0,369.5,21.66,1.19
1999 01 29 12,0.12,334.62,20.15,4.85
1999 01 30 12,15.71,203.48,16.1,5.48
1999 01 31 12,22.61,179.6,9.38,0.84
1999 02 01 12,61.85,136.39,4.11,-1.87
1999 02 02 12,2.07,97.27,5.47,1.33
1999 02 03 12,0.02,343.21,13.24,-0.52
1999 02 04 12,1.69,339.4,13.86,-0.32
1999 02 05 12,0.04,379.82,14.53,-2.74
1999 02 06 12,0,390.68,16.19,-2.73
1999 02 07 12,2.64,342.39,15.56,1.59
1999 02 08 12,0.41,299.91,16.48,4.4
1999 02 09 12,0.37,377.27,19.22,2.07
1999 02 10 12,15.69,256.41,17.77,3.68
1999 02 11 12,2.31,211.62,17.09,6.66
1999 02 12 12,0.39,168.55,14.78,9.02
1999 02 13 12,0,401.78,13.45,-4.35
1999 02 14 12,0,304.55,0.4,-10.02
1999 02 15 12,0,383.68,8,-7.18
1999 02 16 12,0,417.71,13.29,-5.44
1999 02 17 12,24.27,298.09,14.79,-2.29
1999 02 18 12,20.76,169.78,11.55,3.98
1999 02 19 12,14.94,240.96,13.63,2.29
1999 02 20 12,0.15,203.37,6.72,-1.93
1999 02 21 12,0,356.07,10.06,-2.25
1999 02 22 12,0,383.08,4.18,-9.49
1999 02 23 12,0.08,369.84,4.66,-8.24
1999 02 24 12,0.9,262.1,2.2,-5.58
1999 02 25 12,0,354.81,6.08,-5.08
1999 02 26 12,0.33,429.84,11.07,-4.24
1999 02 27 12,3.77,361.61,14.81,-1.93
1999 02 28 12,20.01,198.86,13.69,5.68
1999 03 01 12,1.8,294.17,11.64,0.35
1999 03 02 12,0.13,428.34,13.11,-2.43
1999 03 03 12,21.37,333.67,17.63,-0.35
1999 03 04 12,0.86,367.62,9.01,-6.23
1999 03 05 12,0,457.24,9.16,-6.13
1999 03 06 12,3.47,336.26,11.47,-3.57
1999 03 07 12,0.04,471.29,13.74,-2.52
1999 03 08 12,0.04,470.62,10.64,-5.15
1999 03 09 12,9.14,243.61,4.63,-4.4
1999 03 10 12,2.01,155.72,2.38,-2.95
1999 03 11 12,1.03,465.85,9.93,-5.01
1999 03 12 12,0.81,490.93,12.39,-4.75
1999 03 13 12,0.32,492,14.52,-3.2
1999 03 14 12,25,155.89,5.67,0.03
1999 03 15 12,2.65,249.25,8.03,-1.22
1999 03 16 12,0,495.66,14.33,-3.61
1999 03 17 12,0,520.85,19.04,-2.47
1999 03 18 12,0,509.27,23.11,2.38
1999 03 19 12,0,493.05,21.54,2.93
1999 03 20 12,0,479.69,21,3.54
1999 03 21 12,14.25,288.07,17.7,5.61
1999 03 22 12,0.14,425.3,14.29,-0.91
1999 03 23 12,0.04,487.61,16.84,-0.88
1999 03 24 12,1.8,473.16,18.51,1.58
1999 03 25 12,1.65,395.14,19.28,2.95
1999 03 26 12,14.76,221.76,12.84,4.07
1999 03 27 12,7,211.56,6.06,-1.92
1999 03 28 12,2.61,485.5,13.75,-3.05
1999 03 29 12,1.91,430.34,17.73,1.97
1999 03 30 12,0.25,412.59,15.9,0.47
1999 03 31 12,17.67,308.1,16.53,3.41
1999 04 01 12,61.44,221.47,14.42,5.85
1999 04 02 12,0,460.74,21.78,6.17
1999 04 03 12,0.03,477.79,25.23,8.1
1999 04 04 12,0.02,444.49,27.08,11.59
1999 04 05 12,0.01,498.98,27.63,8.63
1999 04 06 12,1.3,468.99,27.01,9.8
1999 04 07 12,0.29,425.18,19.7,6.11
1999 04 08 12,3.37,508.52,27.15,7.63
1999 04 09 12,0.38,280.94,24.31,12.78
1999 04 10 12,0,395.24,26.28,13.2
1999 04 11 12,0,414.85,27.99,13.95
1999 04 12 12,0,493.59,27.38,9.26
1999 04 13 12,0,526.03,20.08,0.68
1999 04 14 12,0.51,485.41,19.53,2.77
