  35.01
 944.00
 535898367
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 12 11 12	34905.60	0.07	307.80	0.00	2.74	2.74	466.43
1980 12 12 12	34905.60	0.00	306.62	0.00	3.87	3.87	481.04
1980 12 13 12	34905.60	0.00	305.17	0.00	4.64	4.64	493.09
1980 12 14 12	34879.53	0.00	312.83	0.00	2.29	2.29	408.15
1980 12 15 12	34879.53	0.09	260.79	0.00	2.70	2.70	443.50
1980 12 16 12	34809.09	0.07	213.07	0.00	3.14	3.14	498.33
1980 12 17 12	34721.55	0.01	292.90	0.00	2.35	2.35	453.24
1980 12 18 12	34721.55	0.00	311.55	0.00	2.92	2.92	450.62
1980 12 19 12	34721.55	0.00	288.26	0.00	5.30	5.30	534.49
1980 12 20 12	34721.55	0.00	287.08	0.00	1.77	1.77	413.88
1980 12 21 12	34721.55	0.00	298.03	0.00	-1.64	-1.64	310.15
1980 12 22 12	34721.55	0.10	266.68	0.00	-3.66	-3.66	291.30
