Year Mnth Day Hr,PRCP(mm/day)_nldas,PRCP(mm/day)_maurer,prcp(mm/day)_daymet,srad(W/m2)_daymet,tmax(C)_daymet,tmin(C)_daymet,vp(Pa)_daymet
1998 05 12 12,0,0,0,494.98,28.56,14,1600
1998 05 13 12,0,0,0,510.52,30.03,14.37,1629.99
1998 05 14 12,0,0,0,497.53,32.01,16.5,1880
1998 05 15 12,0,0,0,481.68,33.46,18.19,2095.18
1998 05 16 12,0,0,0,445.21,33,19.48,2276.84
1998 05 17 12,0,0,0,393.75,32.3,20.83,2452.31
1998 05 18 12,0,0,0,451.39,33,19,2200
1998 05 19 12,0,0,0,459.75,32.98,18.5,2120
1998 05 20 12,0,0,0,487.14,33.55,17.5,2000
1998 05 21 12,0,0,0,469.37,34.45,19.01,2202.39
1998 05 22 12,0,0,0,410.99,33,20.46,2393.87
1998 05 23 12,0,0,0,410.56,33,20.5,2400
1998 05 24 12,0,0,0,401.18,32.5,20.5,2400
1998 05 25 12,0,0,0,413.76,32.96,20.5,2400
1998 05 26 12,0,0,0,449.03,34,19.93,2314.46
1998 05 27 12,0,0,0,429.18,34,20.82,2451.82
1998 05 28 12,0.76,0.14,0,427.73,33.49,20.5,2400
1998 05 29 12,3.22,3.39,0,424.7,33.5,20.5,2400
1998 05 30 12,13.08,12.4,0,418.01,33.5,20.67,2427.07
1998 05 31 12,3,3.94,11.74,308.91,32,19.71,2296.81
1998 06 01 12,0.36,0.06,0,386.84,33.05,21.48,2557.46
1998 06 02 12,0,0,0,402.89,35.91,23.08,2813.45
1998 06 03 12,0,0,0,435.28,36.36,22,2640.15
1998 06 04 12,0.02,0.3,0,377.81,35,23.3,2847.27
1998 06 05 12,5.48,20.37,0,391.01,34.5,22.5,2720
1998 06 06 12,29.84,14.16,34.37,310.88,31.74,19.5,2280
1998 06 07 12,0,2.47,0,470.98,28.5,14.5,1640
1998 06 08 12,0,0,0,470.09,27.13,13.45,1552.18
1998 06 09 12,0,0,0,458.89,29.73,16,1800
1998 06 10 12,0,0,0,401.44,32.31,20.36,2377.94
1998 06 11 12,0,0,0,407.09,33.95,21.49,2557.8
1998 06 12 12,0,0,0,385.33,34,22.43,2708.41
1998 06 13 12,0,0,0,399.33,35.5,23.15,2823.57
1998 06 14 12,0,0,0,426.69,36.17,22.57,2731.37
1998 06 15 12,0.07,0,0,380.04,36.2,24.44,3069.81
1998 06 16 12,0.15,4.67,0,421.6,34.42,21.48,2556.49
1998 06 17 12,5.23,1.56,2.13,392.76,35.09,21.74,2598.63
1998 06 18 12,1.31,0.05,0,439.15,35.97,21.94,2630.8
1998 06 19 12,8.15,3.83,0,457.66,36.6,21.56,2570.38
1998 06 20 12,2.02,1.27,9.39,355.75,36.01,20.29,2366.22
1998 06 21 12,0,2.66,0,484.87,35.03,19.01,2201.42
1998 06 22 12,0,0.89,0,465.95,35.89,20.5,2400
1998 06 23 12,0,0,0,437.8,37,22.53,2724.14
1998 06 24 12,0.09,0.08,0,431.31,37.38,23.02,2802.78
1998 06 25 12,0.51,0.19,0,427.15,37.56,23.33,2852.2
1998 06 26 12,0.91,0.05,0,476.99,37.03,20.5,2399.96
1998 06 27 12,1.83,1.2,0,447.47,36.5,21.53,2565.51
1998 06 28 12,0.8,1.07,0,451.08,37.49,22,2640
1998 06 29 12,0.02,0.22,0,425.44,37.99,23.49,2879.08
1998 06 30 12,0,0,0,413.27,38.02,23.99,2998.63
1998 07 01 12,0.14,0,0,395.26,37.5,24.32,3051.02
1998 07 02 12,0.2,1.33,0,397.24,36.29,23.33,2853.04
1998 07 03 12,10.28,7.4,4.63,300.97,34.69,22,2640
1998 07 04 12,1.01,2.55,3.9,373.69,35.44,22.5,2720
1998 07 05 12,0.07,0.08,0,401.53,35.95,22.91,2785.7
1998 07 06 12,0.1,0.06,0,407.68,36.22,22.86,2777.05
1998 07 07 12,0.07,0.02,0,401.37,36.1,23.02,2803.54
1998 07 08 12,4.06,0.75,0,389.12,36.61,23.89,2972.55
1998 07 09 12,7.62,3.41,0,394.32,37,23.98,2995.25
1998 07 10 12,0.69,7.06,10.48,308.62,36.5,22.91,2785.01
1998 07 11 12,0,2.42,0,403.46,36.24,23.03,2804.79
1998 07 12 12,14.68,12.71,5.02,307.73,35.99,23.85,2964.25
1998 07 13 12,1.38,4.91,10.42,222.26,31.5,22.89,2783.07
1998 07 14 12,4.63,3.18,2.78,276.95,32.5,22.41,2705.11
1998 07 15 12,5.07,8.02,7.42,245.42,32.52,22.9,2783.75
1998 07 16 12,3.74,2.45,11.66,260.88,34,23.51,2882.55
1998 07 17 12,0.51,0.93,0,384.17,34.53,22.69,2751.03
1998 07 18 12,0.71,0.3,0,391.96,34.49,22.5,2670.26
1998 07 19 12,0,0.26,0,416.51,35.95,22.8,2660.58
1998 07 20 12,3.84,0.89,0,438.58,36,22.06,2455.07
1998 07 21 12,3.33,0.27,0,443.14,35.5,21.54,2375.83
1998 07 22 12,0.83,0,0,423.71,35.02,22,2489.67
1998 07 23 12,2.69,3.1,0,398.79,34.5,22.53,2630.31
1998 07 24 12,16.22,17.08,2.8,330.67,34,23,2785.49
1998 07 25 12,0.27,5.35,21.58,308.26,34.5,22.82,2754.76
1998 07 26 12,0.65,0,0,378.13,34.02,22.99,2787.84
1998 07 27 12,12.58,5.64,0,387.34,34.47,23.11,2801.8
1998 07 28 12,7.19,3.25,15.34,296.98,33.99,22.49,2719.08
1998 07 29 12,3.66,9.47,13.53,306.32,34.48,22.47,2715.67
1998 07 30 12,9.47,7.63,4.3,319.77,34.78,22,2640
1998 07 31 12,6.74,3.83,6.42,307.14,34.4,22.4,2704.67
1998 08 01 12,3.6,5.47,11.4,293.63,32.99,22,2639.48
1998 08 02 12,0,1.57,0,398.77,30.82,20.01,2319.42
1998 08 03 12,0,0,0,472.65,30.44,17,1835.44
1998 08 04 12,0,0,0,467.98,31.5,18,1954.07
1998 08 05 12,0,0,0,462.59,33.2,19.52,2141.92
1998 08 06 12,0,0,0,474.63,34,19.56,2104.28
1998 08 07 12,5.17,2.1,0,455.91,33.51,20.01,2184.19
1998 08 08 12,1.9,16.24,7.49,360.73,33.52,20.89,2432.15
1998 08 09 12,22.56,7.7,19.68,294.2,33.4,22.2,2672.62
1998 08 10 12,0.7,0.91,6.57,277.39,32,21.89,2621.94
1998 08 11 12,0.92,0.58,0,421.81,33.9,21.5,2548.72
1998 08 12 12,1.91,0.44,0,413.61,34.9,22.48,2706.54
1998 08 13 12,7.23,1.24,0,394.22,34.02,22.49,2716.62
1998 08 14 12,3.19,1.87,8.04,287.52,32.54,21.66,2585.84
1998 08 15 12,5.54,1.51,5.67,275.51,31.75,21.55,2568.24
1998 08 16 12,8.25,5.52,6.21,281.72,31.99,21.48,2557.46
1998 08 17 12,0.01,2.7,14.25,283.64,31.9,21.31,2530.3
1998 08 18 12,4.1,2.33,0,374.61,32.51,21.98,2636.4
1998 08 19 12,0,0.67,0.3,426.96,33.88,20.91,2465.01
1998 08 20 12,1.24,0,0,403.31,33,21.37,2538.63
1998 08 21 12,0,1.51,0,454.82,31.51,18,2080
1998 08 22 12,0,0.5,0,434.53,31.47,18.85,2175.26
1998 08 23 12,0,0,0,448.77,32.44,18.82,2170.72
1998 08 24 12,0,0,0,453.87,33.34,19.09,2215.03
1998 08 25 12,0,0,0,450.55,34.48,20,2320
1998 08 26 12,0,0,0,450.92,35.98,20.83,2453.46
1998 08 27 12,0,0,0,433.3,37,22.27,2682.6
1998 08 28 12,0,0,0,480.36,37.33,19.54,2281.41
1998 08 29 12,0.3,0,0,449.43,37.39,21.33,2532.08
1998 08 30 12,1.9,0.31,0,414.32,37.11,22.83,2772.36
1998 08 31 12,9.39,0.87,0,415.18,36.87,22.47,2714.56
1998 09 01 12,7.55,0.43,0,411.33,36.12,22,2640
1998 09 02 12,0,43.37,0,372.45,32.62,21,2479.29
1998 09 03 12,102.63,94.14,107.84,208.93,27.75,20,2320
1998 09 04 12,0,26.57,58.17,260.49,28.4,18.5,2120
1998 09 05 12,0,0,0,449.1,34,18.61,2137.04
1998 09 06 12,0,0,0,412.87,33.5,19.99,2319.83
1998 09 07 12,0,0,0,392.36,33,20.43,2388.95
1998 09 08 12,0,0.95,0,382.89,33.97,21.51,2562
1998 09 09 12,1.1,0.49,2.46,366.31,33,19.24,2238.8
1998 09 10 12,0,0.06,0,418.19,27.14,14.32,1626.29
1998 09 11 12,0,0,0,404.32,27,14.73,1677.9
1998 09 12 12,0,0,0,377.13,27.52,16.19,1830.55
1998 09 13 12,0,0,0,429.45,29,15,1720
1998 09 14 12,0,0,0,426.34,31,16.54,1882.59
1998 09 15 12,0,0,0,388.9,31.5,18.55,2127.89
1998 09 16 12,0,0,0,378.07,32,19.31,2249.47
1998 09 17 12,0.05,0.25,0,346.22,31.53,20.15,2344.6
1998 09 18 12,3.83,2.6,0.94,272.74,30,21.51,2560.93
1998 09 19 12,0.96,1.14,5.59,173.83,29,21.95,2631.98
1998 09 20 12,6.03,4.78,0.58,231.67,29.5,22.46,2713.32
1998 09 21 12,5.46,7.18,9.73,176.01,29.52,22.45,2711.29
1998 09 22 12,0,2,7.11,205.78,31,22.53,2724.15
1998 09 23 12,0.11,0.04,0,328.42,32,21.5,2560
1998 09 24 12,0,0,0,365.69,30.5,18.79,2166.91
1998 09 25 12,0,0,0,369.15,29.01,17.44,1990.31
1998 09 26 12,0.16,0.04,0,351.96,29.65,18.69,2150.5
1998 09 27 12,0,0.09,0,329.52,31.57,21.23,2517.31
1998 09 28 12,0.61,4.7,0,266.78,30.81,22.87,2778.8
1998 09 29 12,34.93,34.38,9.04,149.25,27.96,22.46,2713.3
1998 09 30 12,18.73,18.88,56.01,112.73,24.85,21,2479.48
1998 10 01 12,0.02,2.79,3.57,157.17,26.02,20.6,2415.57
1998 10 02 12,0,0.05,0,396.88,30.5,17.82,2051.42
1998 10 03 12,0,0,0,348.88,28.48,18.27,2101.92
1998 10 04 12,0,0,0,312.06,29.02,20.02,2324.18
1998 10 05 12,0.03,0,0,323.12,29.98,20.5,2399.27
1998 10 06 12,0,0,0,317.63,29,19.91,2312.51
1998 10 07 12,0,10.32,0,277.2,28.54,20.9,2463.3
1998 10 08 12,18.03,7.78,19.65,264.22,29.59,19.05,2208.5
1998 10 09 12,0,1.45,0,437.6,26.5,11.49,1358.97
1998 10 10 12,0,0,0,411.5,24,11.29,1342.85
1998 10 11 12,0,0,0,417.61,25,11.51,1361.12
1998 10 12 12,0,0,0,418.83,26.74,12.43,1434.65
1998 10 13 12,0,0,0,415.99,27,12.65,1452.15
1998 10 14 12,0,0,0,414.83,27,12.5,1440
1998 10 15 12,0,0,0,435.31,27.5,10.5,1280.2
1998 10 16 12,0,0,0,427.51,27.5,10.93,1314.09
1998 10 17 12,0,0,0,419.1,27,11,1320
1998 10 18 12,0,0,0,397.29,27,12.45,1436.31
1998 10 19 12,0,0,0,375.83,28.77,14.9,1704.67
1998 10 20 12,0.08,0.09,0,355.3,30,16.8,1903.64
1998 10 21 12,0,0.03,0,375.8,28.6,14.06,1604.69
1998 10 22 12,0,0,0,370.34,23.69,10.23,1258.26
1998 10 23 12,0,0,0,402.94,19.5,4.02,802.07
1998 10 24 12,0.1,0,0,411.96,19.9,3,760
1998 10 25 12,0,0,0,423.85,23.5,3.76,800
1998 10 26 12,0,0,0,418.8,25.5,5.06,885.07
1998 10 27 12,0.01,0,0,408.89,27,6.64,971.52
1998 10 28 12,0,0,0,398.3,27.5,7.76,1060.88
1998 10 29 12,0,0,0,380.88,27.5,9,1160
1998 10 30 12,0,0,0,360.51,28.47,11,1320
1998 10 31 12,0.38,0,0,346.51,29,12.03,1402.5
1998 11 01 12,0,0,0,369.38,29,9.5,1200
1998 11 02 12,0,2.59,0,328.1,28,11.97,1397.91
1998 11 03 12,5.02,1.9,5.02,203.83,27,14.56,1651.15
1998 11 04 12,0,0.35,0,305.41,25.53,11,1320.25
1998 11 05 12,0,0,0,249.35,20,9.18,1174.75
1998 11 06 12,0,0,0,291.4,16.5,3.5,800
1998 11 07 12,0,0,0,324.19,17.51,2,720
1998 11 08 12,0.73,1.2,0,311.07,19.47,4.54,843.03
1998 11 09 12,0.75,0.4,2.42,247.92,23.29,9.93,1234.41
1998 11 10 12,0.5,2.17,0,251.85,25.5,13.35,1535.24
1998 11 11 12,2.61,1.2,2.96,187.18,24.87,12.99,1478.82
1998 11 12 12,0,0.16,0,317.37,21.76,5.46,916.86
1998 11 13 12,0,0.01,0,276.61,21.14,7.76,1060.56
1998 11 14 12,0.45,0.66,0,215.99,20.93,11.01,1321.15
1998 11 15 12,1.51,1.18,2.24,147.26,21.22,14.23,1618.73
1998 11 16 12,0.78,0.33,1.07,139.82,22.62,16.34,1854.86
1998 11 17 12,0,0,0,223.65,25.48,14.87,1699.37
1998 11 18 12,0,0,0,312.15,24.5,8.05,1083.91
1998 11 19 12,0.01,0,0,222.16,22,11.76,1380.9
1998 11 20 12,0.02,0,0,193.43,22.84,13.99,1598.98
1998 11 21 12,0,0,0,303.8,23.79,7.83,1066.04
1998 11 22 12,0,0,0,258.58,18.84,6.76,980.94
1998 11 23 12,3.7,2.81,0,191.99,18.32,9.95,1236.34
1998 11 24 12,0.19,0.94,6.17,119.7,20.21,13.35,1536.35
1998 11 25 12,0,0,0,243.79,23.5,12.25,1419.71
1998 11 26 12,0,0,0,267.94,23.99,11.31,1344.93
1998 11 27 12,0.01,0,0,336.08,23.99,4.5,840
1998 11 28 12,0,0,0,335.8,23.5,4.03,802.54
1998 11 29 12,0,0.4,0,334.64,24.5,4.69,855.08
1998 11 30 12,1.8,0.13,0,315.52,24.5,7.03,1002.69
1998 12 01 12,0,0,0,303.63,25.27,8.83,1146.04
1998 12 02 12,0,0,0,300.96,25.98,9.49,1199.53
1998 12 03 12,0,0,0,300.75,25.5,9,1160
1998 12 04 12,0,0,0,296.95,25.72,9.32,1185.85
1998 12 05 12,0,0,0,281.79,26.32,11.06,1324.94
1998 12 06 12,0.01,0,0,265.7,26,12,1400
1998 12 07 12,0,0.16,0,242.03,25.71,13.5,1560
1998 12 08 12,0.27,3.29,0.32,194.38,25.5,16.2,1831.47
1998 12 09 12,5.96,1.89,5.53,212.61,24.51,9.29,1183.02
1998 12 10 12,0,0.27,0,229.52,18,7.5,1040
1998 12 11 12,0,0,0,224.26,17.78,7.6,1047.93
1998 12 12 12,0.07,0.49,0,197.24,17.9,9.27,1181.82
1998 12 13 12,4.34,3.01,3,112.57,17.33,10.99,1319.41
1998 12 14 12,0,0.95,2.1,188.69,16.74,8.5,1120
1998 12 15 12,0,0,0,205.86,13,4.33,826.24
1998 12 16 12,0,0,0,274.79,13.47,0.5,640
1998 12 17 12,0,0,0,304.95,17.96,1.49,679.26
1998 12 18 12,0,0,0,316.92,14.5,-3,480
1998 12 19 12,0,0,0,308.24,17,0,600
1998 12 20 12,0.01,0,0,261,22.01,8.59,1127.5
1998 12 21 12,0.7,0.38,0,243.51,23.47,11.19,1335.17
1998 12 22 12,0.33,0.25,2,248.25,24.86,12,1400.08
1998 12 23 12,0.94,0.27,0,275.04,19.73,5.41,912.8
1998 12 24 12,0.55,7.21,6.42,102.12,10.93,5.12,889.7
1998 12 25 12,19.56,14.34,13.28,84.82,7.98,3.38,790.09
1998 12 26 12,9.78,6.79,13.27,79.79,6.04,1.88,710.35
1998 12 27 12,0.03,0.96,0,142.48,7.01,1.45,675.74
1998 12 28 12,1.33,0.76,0,169.24,9.5,2.94,755.46
1998 12 29 12,0,0.45,1,217.32,14,5.33,906.24
1998 12 30 12,0,0.07,0,284.89,14.57,2,720
1998 12 31 12,0,0,0,301.89,11.53,-2,520
1999 01 01 12,0,0,0,297.77,15.57,-1,560
1999 01 02 12,11.68,18.69,0,236.45,15,3.28,782.61
1999 01 03 12,17.88,10.16,29.84,146.59,11.15,2,719.99
1999 01 04 12,7.72,1.31,0,250.52,6.56,-5.49,401
1999 01 05 12,0,0,0,237.16,2.5,-8.52,320
1999 01 06 12,0,0,0,264.28,4.21,-8.5,320
1999 01 07 12,0,0,0,302.31,12.68,-3.54,475.41
1999 01 08 12,0.04,0.2,0,273.57,18.72,4.43,834.28
1999 01 09 12,14.31,11.54,7.41,208.56,19.5,4.91,873.03
1999 01 10 12,0.39,3.82,13.69,240.51,14.33,-3.75,460.12
1999 01 11 12,0.09,0,0,296.21,11.5,-3.64,468.79
1999 01 12 12,0,0,0,322.89,16.03,-2,520
1999 01 13 12,0,0,0,320.88,19,0.86,640
1999 01 14 12,3.65,12.48,0,290.78,21.37,5.92,920
1999 01 15 12,15.66,9.15,22.26,211.31,19.5,5.14,891.32
1999 01 16 12,0,1.66,0,323.72,16.54,-1.05,560
1999 01 17 12,0.2,8.78,0,325.57,20,1.97,716.94
1999 01 18 12,15.08,12.71,21.15,192.38,21.56,9.03,1162.16
1999 01 19 12,0,3.26,0,339.22,21.98,2.38,720
1999 01 20 12,0.2,0,0,323.51,21,3.49,799.25
1999 01 21 12,0.05,0,0,285.73,22.65,8.31,1104.71
1999 01 22 12,0.56,0,0,241.37,24.04,12.44,1435.07
1999 01 23 12,47.67,34.99,0,221.32,25.05,14.52,1643.88
1999 01 24 12,0,12.05,41.95,185.79,19.29,8.03,1082.03
1999 01 25 12,0.55,0.13,0,314.52,18.45,3,760
1999 01 26 12,0,0,0,339.18,21.96,3.96,800
1999 01 27 12,0.06,0,0,323.46,22.44,6.02,921.38
1999 01 28 12,0.05,0,0,325.18,24.22,7.51,1040.76
1999 01 29 12,0,0.04,0,310.43,23.5,8.26,1100.64
1999 01 30 12,3.53,7.54,0,276.74,22.5,9.8,1223.64
1999 01 31 12,17.28,22.27,16.27,156.28,15.46,7,1000
1999 02 01 12,16.42,11.93,26.39,99.91,9.79,4.87,869.57
1999 02 02 12,0,1.95,3.31,87.1,10.01,5.85,920
1999 02 03 12,0.08,7.23,0,196.26,14.33,6.92,993.36
1999 02 04 12,10.73,4.25,14.41,183.4,19.35,9.64,1210.86
1999 02 05 12,0,0.62,0,372.26,21.86,3.5,800
1999 02 06 12,0,0,0,381.24,21.07,2.01,720
1999 02 07 12,0.03,0,0,378.75,24.5,5.25,899.77
1999 02 08 12,0.15,0,0,336.56,25.5,9.96,1236.51
1999 02 09 12,0,1.13,0,316.57,24.5,10.75,1300.05
1999 02 10 12,1.57,0.46,2,265.58,22.5,11.89,1390.97
1999 02 11 12,0,0.03,0,292.19,25,13,1480
1999 02 12 12,1.25,0.86,0,341.8,24.5,9.95,1236.21
1999 02 13 12,0,0.29,0,399.56,16.35,-1.48,560
1999 02 14 12,0,0,0,381.47,12.46,-3.14,480
1999 02 15 12,0,0,0,394.19,13.52,-3,480
1999 02 16 12,0,0,0,413.2,17.55,-1.02,560
1999 02 17 12,8.22,15.64,0,403.58,21,2.94,755.3
1999 02 18 12,12.92,7.19,18.66,258.13,22,8.5,1120
1999 02 19 12,0.27,0.92,0,316.92,18.98,7.47,1037.51
1999 02 20 12,0,0.16,0,383.33,17.5,2.55,724.19
1999 02 21 12,0.22,0.24,0.21,337.47,15.5,3.48,798.25
1999 02 22 12,0,0.07,0,393.66,12.44,-2.52,518.42
1999 02 23 12,0,1.06,0,330.99,10.02,-1.21,560
1999 02 24 12,2.55,0.72,2.66,279.65,11.86,0.53,640
1999 02 25 12,0.05,0.12,0,410.53,14.62,-0.94,564.87
1999 02 26 12,0,0,0,433.14,20.52,2.5,720
1999 02 27 12,0,3.64,0,377.28,21.97,8,1079.74
1999 02 28 12,6.86,4.13,8.73,243.81,20.95,9.91,1232.51
1999 03 01 12,0,0.97,0,406.32,20.49,5.28,902.56
1999 03 02 12,0,2.2,0,454.68,22.05,2.51,720.63
1999 03 03 12,8.69,7.01,10.27,327.24,23.48,5.28,902.72
1999 03 04 12,0,2.09,0,397.15,14.67,0.16,613.04
1999 03 05 12,0,0,0,431.71,16.51,-0.5,600
1999 03 06 12,3.62,2.35,0,425.11,20,2.98,758.25
1999 03 07 12,0,0.78,3.76,305.52,19.88,4.27,821.26
1999 03 08 12,0,1.91,0,390.29,16.5,2.47,721.39
1999 03 09 12,8.7,5.04,5.02,276.92,17.09,4.33,826.31
1999 03 10 12,0,1.47,5,333.51,21.38,3.79,800
1999 03 11 12,0.28,0.16,0,438.61,18.66,2.01,718.68
1999 03 12 12,0,0.05,0,419.21,17,1.76,700.78
1999 03 13 12,0,15.47,0,381.95,17.34,4.1,808.35
1999 03 14 12,27.55,9.71,27.08,277.03,20.15,7.37,1029.66
1999 03 15 12,0,1.52,0,411.69,18.5,3.99,800
1999 03 16 12,0,0,0,447.28,17.83,1.41,672.45
1999 03 17 12,0,0,0,469.94,22.55,4,800
1999 03 18 12,0,0,0,465.49,25.02,6.5,960
1999 03 19 12,0,0,0,464.36,26,7.49,1039.53
1999 03 20 12,0,0.07,0,457.7,25.5,7.69,1055.33
1999 03 21 12,0.51,0.02,0,415.02,24.53,9.44,1194.95
1999 03 22 12,0,0,0,410.18,18.49,4.5,840
1999 03 23 12,0,0,0,501.06,22.56,2,720
1999 03 24 12,0,0,0,482.49,25.02,5.6,919.98
1999 03 25 12,8.61,4.58,0,410.54,24.51,9.64,1211.49
1999 03 26 12,2.16,1.53,9.82,321.36,20.81,5.49,919.36
1999 03 27 12,0,0,0,431.06,18.24,3.21,777.08
1999 03 28 12,0,0,0,473.56,20.1,2.59,727.35
1999 03 29 12,0,0,0,457.95,23.5,6.47,957.91
1999 03 30 12,0.16,0.23,0,434.86,23.74,7.93,1074.28
1999 03 31 12,2.76,8.22,3.46,237.01,22,11.83,1386.04
1999 04 01 12,16.82,6.85,14,218.06,24.56,15.07,1725.15
1999 04 02 12,0,1.38,0,394.25,27.93,14.18,1614.17
1999 04 03 12,0,0,0,425.65,29.5,14,1600
1999 04 04 12,0,0,0,385.98,30.3,16.67,1893.4
1999 04 05 12,0,0,0,418.63,29.94,14.97,1715.54
1999 04 06 12,0,0,0,409.64,30.5,15.97,1797.51
1999 04 07 12,0.64,0.04,0,347.14,27.83,16.41,1865.8
1999 04 08 12,0.13,0.01,0,403.22,31,16.8,1904.05
1999 04 09 12,0.03,0,0,335.72,30,18.88,2181.05
1999 04 10 12,0,0,0,284.32,29.5,20.39,2382.38
1999 04 11 12,0,0,0,349.15,30.39,19,2199.48
1999 04 12 12,2.12,0,0,463.82,30.5,14,1600
1999 04 13 12,0,0,0,509.59,27,8.4,1111.75
1999 04 14 12,0,0,0,483.08,25.72,9,1160
1999 04 15 12,17.11,19.87,0,456.14,27.87,12.31,1424.62
1999 04 16 12,0,6.62,30.86,385.26,28.67,9.53,1202.15
1999 04 17 12,0,0,0,382.22,20.5,9.22,1177.81
1999 04 18 12,0,0,0,488.52,19.59,4.01,801.13
1999 04 19 12,0,0,0,514.41,21.28,4.09,807.17
1999 04 20 12,1.13,0.14,0,493.93,24.95,8.42,1113.2
1999 04 21 12,0,0.05,0,492.85,29.06,11.74,1379.5
1999 04 22 12,0,0,0,508.73,30.5,11.99,1398.92
1999 04 23 12,0,0,0,517.85,30.67,11.5,1359.29
1999 04 24 12,0.18,0,0,462.24,31.52,15.48,1758.04
1999 04 25 12,0.01,0,0,457.76,31.48,15.82,1745.92
1999 04 26 12,0,0,0,275.28,23.32,15.54,1762.84
1999 04 27 12,2.85,2.45,0,389.75,29,16.99,1919.9
1999 04 28 12,2.82,12.13,7,306.03,30.54,17.63,2020.98
1999 04 29 12,6.99,5.33,9.84,374.45,27.47,10.97,1317.99
1999 04 30 12,2.94,14.1,2.07,232.71,13.63,7.67,1053.84
1999 05 01 12,0.3,5.24,3,227.65,15.89,8.05,1084.28
1999 05 02 12,0.14,0.24,0,457.09,22.37,8.96,1156.85
1999 05 03 12,0.78,0,0,539.75,26.11,7.95,956.32
1999 05 04 12,0,0.5,0,535.66,28.19,9.85,1068.01
1999 05 05 12,5.03,3.62,2,477.97,28.73,13.49,1418.24
1999 05 06 12,6.43,14.21,7.38,288.05,28,16.61,1888.33
1999 05 07 12,10.25,6.66,18.66,259.81,27.5,17.47,1994.89
1999 05 08 12,0,0.77,0,447.6,27.03,13.51,1510.95
1999 05 09 12,0.9,0,0,519.37,28.9,11.5,1240.37
1999 05 10 12,3.66,0.23,0,472.72,29.82,14.5,1555.51
1999 05 11 12,0,0.15,0,483.35,30.5,14.43,1516.96
1999 05 12 12,0.25,0.1,0,467.87,29.5,14.43,1548.68
1999 05 13 12,0.29,1.36,0,425.25,28.49,15.48,1717.32
1999 05 14 12,5.62,2.02,7.01,338.63,29.26,15.02,1721.59
1999 05 15 12,0,0.52,0,421.56,27.44,14.81,1665.29
1999 05 16 12,0,0,0,444.36,26,12.88,1461.5
1999 05 17 12,0,0,0,467.3,28.57,14.04,1523.51
1999 05 18 12,0,0,0,486.62,29.6,14.03,1490.77
1999 05 19 12,0,0,0,464.08,30.05,15.5,1675.37
1999 05 20 12,0,0,0,489.53,30.48,14.82,1502.83
1999 05 21 12,0,0,0,476.25,30.47,15.5,1586.43
