Year Mnth Day Hr,PRCP(mm/day)_nldas,PRCP(mm/day)_maurer,prcp(mm/day)_daymet,srad(W/m2)_daymet,tmax(C)_daymet,tmin(C)_daymet,vp(Pa)_daymet
1998 06 11 12,0.36,4.56,17.1,282.47,25.93,15.4,1748.32
1998 06 12 12,0.13,0.05,0,443.18,29.28,16,1814.31
1998 06 13 12,0.03,0.25,0,412.57,29.82,17.72,2028.21
1998 06 14 12,0.14,4.66,0,452.78,28.45,15.05,1710.91
1998 06 15 12,7.42,1.67,6.92,328.69,29.26,16.28,1855.34
1998 06 16 12,7.34,3.5,0.44,405.17,29.01,17.14,1950.12
1998 06 17 12,0.43,1.15,5.76,357.42,26.65,13.19,1513.04
1998 06 18 12,1.84,0.11,0,501.12,29.01,13.35,1531.1
1998 06 19 12,10.31,9.37,0,496.2,30.97,15.17,1725.76
1998 06 20 12,0.03,3.13,14.02,347.4,27.43,13.9,1590.61
1998 06 21 12,5.08,3.66,0,488.59,29.42,14.37,1640.54
1998 06 22 12,0.2,1.56,7.01,332.93,29.44,16.28,1846.9
1998 06 23 12,1.26,0.11,0,491.48,31.62,15.77,1790.3
1998 06 24 12,0.59,0.7,0,456.46,31.38,17.21,1962.6
1998 06 25 12,1.86,0.38,1.66,455.35,32.17,16.57,1879.94
1998 06 26 12,2.36,0.27,0,463.75,31.85,17.2,1962
1998 06 27 12,0.61,0.08,1.44,396.92,31.79,18.22,2096.57
1998 06 28 12,0.14,0.41,0,455.65,32.66,18.23,2097.35
1998 06 29 12,1.49,1.78,3.45,374.87,31.74,18.58,2144.55
1998 06 30 12,3.44,1.1,0,427.98,31.63,18.48,2131.88
1998 07 01 12,0.31,0.31,0.18,436.9,29.95,16.52,1872.3
1998 07 02 12,0.1,0.04,0,444.46,28.36,15.19,1726.03
1998 07 03 12,0.1,0.04,0,428.26,28.4,15.82,1794.21
1998 07 04 12,2.77,5.1,0,459.89,30.33,16.15,1831.74
1998 07 05 12,5.3,4.29,7.31,310.64,30.36,17.96,2060.2
1998 07 06 12,4.07,0.87,6.78,292.18,29.53,18.39,2120.46
1998 07 07 12,0,0.02,0,388.71,27.62,16.69,1899.34
1998 07 08 12,0.34,0.09,0,418.64,29.78,17.6,2016.34
1998 07 09 12,0.05,0.11,0,322.13,27.88,19.11,2215.29
1998 07 10 12,0.05,0.05,0,437.17,31.59,18.36,2116.18
1998 07 11 12,0,0.06,0,449.39,29.69,16.26,1851.56
1998 07 12 12,0,0.94,0,403.72,28.71,17.23,1972.99
1998 07 13 12,1.37,0.4,1.91,340.94,27.89,18.2,2095.56
1998 07 14 12,0.29,0.14,0.26,353.88,26.92,17.27,1971.41
1998 07 15 12,0,0.03,0,364.95,25.25,15.65,1777.73
1998 07 16 12,7.66,7.06,0,421.37,28.51,16.59,1889.71
1998 07 17 12,9.83,3.93,8.18,305.62,29.57,18.02,2072.16
1998 07 18 12,1.27,0.53,2.74,402.8,30.06,16.11,1830.91
1998 07 19 12,2.46,0.13,0,481.9,30.57,15.85,1802.31
1998 07 20 12,3.03,4.79,0,492.47,32.46,16.62,1889.73
1998 07 21 12,7.28,3.22,15.61,400,32.9,17.04,1943.5
1998 07 22 12,4.52,11.64,2.19,424.81,31.32,17.33,1977.5
1998 07 23 12,18.38,12.21,11.41,328.22,29.6,17.8,2040
1998 07 24 12,0.05,2.98,10.07,309.99,29.72,18,2068.14
1998 07 25 12,1.76,1.52,0,400.5,29.21,18.16,2088.99
1998 07 26 12,0.03,0.87,4.18,306.32,27.46,16.45,1874.89
1998 07 27 12,3.57,2.48,0,398.25,28.06,17.41,1993.56
1998 07 28 12,0.57,0.81,5.47,247.03,26.85,18.44,2126.29
1998 07 29 12,0,0.14,0,454.44,30.17,17.19,1962.74
1998 07 30 12,0.5,0.15,0,470.24,30.66,16.85,1920.32
1998 07 31 12,1.08,0.93,0.64,389.92,28.25,17.99,2066.88
1998 08 01 12,0,0.3,0.95,364.27,27.24,17.72,2029.66
1998 08 02 12,0,0,0,421.13,26.33,15.39,1748.45
1998 08 03 12,0,0,0,529.51,25.78,10.06,1238.27
1998 08 04 12,0.04,0.01,0,543.66,27.7,10.36,1258.05
1998 08 05 12,0.17,0,0,539.59,29.11,11.43,1346.14
1998 08 06 12,0,0.03,0,523,29.31,12.52,1443.03
1998 08 07 12,0,7.01,0,498.3,28.82,13.49,1523.68
1998 08 08 12,10.61,8.91,12.69,334.48,27.61,14.72,1676.3
1998 08 09 12,17.21,11.86,9.08,262.48,27.54,18.11,2082.07
1998 08 10 12,3.28,3.23,14.17,269.67,26.87,17.29,1973.88
1998 08 11 12,3.93,7.84,0,437.97,28.92,16.3,1847.14
1998 08 12 12,9.96,12.24,11.99,337.6,28.93,15.58,1771.83
1998 08 13 12,6.91,7.43,15.88,330.48,29.13,16.04,1827.5
1998 08 14 12,2.27,2.77,7.42,257.26,26.97,17.66,2020.7
1998 08 15 12,14.06,16.05,9.16,180.31,24.32,18.16,2090.17
1998 08 16 12,9.14,9.06,17.76,184.86,25.26,18.92,2187.91
1998 08 17 12,0.57,1.42,5.05,248.02,26.95,18.27,2103.38
1998 08 18 12,0.2,0.25,0,447.04,28.98,16.05,1825.01
1998 08 19 12,1.26,2.07,0.02,461.71,30.09,16.28,1853.52
1998 08 20 12,1.32,0.73,10.75,303.47,28.02,16.94,1935.36
1998 08 21 12,0.07,0.02,0,478.86,26.06,12.31,1435.52
1998 08 22 12,0,0,0,498.65,27.98,12.61,1460.85
1998 08 23 12,0,0,0,495.09,30.19,14.26,1629.01
1998 08 24 12,0,0.13,0,475.2,30.1,15.14,1726.42
1998 08 25 12,0.1,0.04,0,486.87,31.58,15.33,1744.49
1998 08 26 12,0,0,0,480.51,32.55,16.19,1834.14
1998 08 27 12,0,0,0,470.9,33.01,16.8,1913.27
1998 08 28 12,0,0.03,0,459.98,32.7,17.05,1944.14
1998 08 29 12,0.08,0.21,0,446.99,31.8,16.99,1936.22
1998 08 30 12,0.83,0.26,0,439.88,32.3,17.53,2003.18
1998 08 31 12,0.04,0.07,0,428.29,30.78,16.75,1907.48
1998 09 01 12,1.22,0,0,456.46,30.81,15.15,1722.65
1998 09 02 12,0.07,1.79,0,444.37,29.19,14.47,1649.17
1998 09 03 12,0.26,0.81,0,422.07,28.52,15.04,1710.82
1998 09 04 12,0.01,0.07,0.87,249.36,21.51,14.77,1680.58
1998 09 05 12,0.21,0.49,0,470.91,31.1,14.62,1664.75
1998 09 06 12,2.18,1.08,0.54,436.88,31.28,15.79,1791.01
1998 09 07 12,0.04,0.31,3.03,366.37,29.86,15.73,1785.71
1998 09 08 12,1.67,0.72,0,409.58,30.46,16.88,1916.46
1998 09 09 12,0,0.24,0.7,496.52,26.4,6.82,988.63
1998 09 10 12,0,0,0,508.68,24.39,5.56,908.14
1998 09 11 12,0,0.02,0,509.47,25.79,6.18,947.29
1998 09 12 12,0,0.02,0,501.64,27.93,8.07,1077.91
1998 09 13 12,0,0.01,0,480.25,30.76,11.39,1346.89
1998 09 14 12,0,0.03,0,451.94,31.32,13.37,1529.93
1998 09 15 12,0.02,0.01,0,407.31,29.65,14.34,1637.4
1998 09 16 12,0.07,0.05,0,389.37,28.46,14.05,1605.88
1998 09 17 12,0.11,0.07,0,389.26,29.07,14.41,1643.83
1998 09 18 12,0.08,0.48,0,376.34,29.37,15.23,1730.91
1998 09 19 12,0.37,0.31,0.01,345.1,28.6,15.88,1802.02
1998 09 20 12,0,2.3,0,346.32,27.33,14.7,1673.45
1998 09 21 12,25.4,14.96,12.05,213.69,27.52,17.31,1976.43
1998 09 22 12,0,4.74,18.34,192.92,25.75,16.83,1911.45
1998 09 23 12,0,0,0,390.24,28.74,13.81,1582.41
1998 09 24 12,0.11,0.12,0,318.98,25.11,13.98,1599.79
1998 09 25 12,0,0.04,0,351.49,23.31,11.06,1324.68
1998 09 26 12,0,0,0,408.72,26.83,11.13,1330.02
1998 09 27 12,0.05,0.12,0,408.12,27.99,11.93,1394.71
1998 09 28 12,2.82,0.24,0,384.27,29.01,14.01,1602.71
1998 09 29 12,27.6,26.4,0,246.38,25.33,16.78,1911.94
1998 09 30 12,4.34,9.16,30.47,124.64,21.97,16.49,1874.31
1998 10 01 12,0.04,0.13,1.68,293.67,24.92,13.53,1549.48
1998 10 02 12,0,0.01,0,448.25,26.02,7.01,1008.2
1998 10 03 12,1.25,3.21,0,391.08,21.59,7.16,1019.2
1998 10 04 12,10.51,33.56,7.21,195.64,20.32,11.51,1361
1998 10 05 12,28.94,21.16,38.26,177.41,25.06,16.77,1909.28
1998 10 06 12,14.76,16.61,14.02,140.34,23.06,16.73,1904.03
1998 10 07 12,28.88,50.09,28.56,72.91,19.06,16.15,1832.06
1998 10 08 12,46.71,15.76,54.33,127.6,20.71,15.26,1735.24
1998 10 09 12,0,0.48,0,409.14,22.43,6.92,1003.74
1998 10 10 12,0.14,0.1,0,409.34,20.28,5.04,876.21
1998 10 11 12,0,0.13,0,405.05,21.56,6.34,958.77
1998 10 12 12,0.09,0.1,0,404.95,23.45,7.87,1069.87
1998 10 13 12,0.05,0.02,0,388.01,22.37,8.04,1083.3
1998 10 14 12,0,0,0,392.3,20.95,6.41,958.96
1998 10 15 12,0,0,0,425.99,20.85,3.47,785.18
1998 10 16 12,0.68,0,0,418.97,21.3,4.15,826.68
1998 10 17 12,0.03,0,0,394.99,21.17,5.76,920.4
1998 10 18 12,0.13,0.2,0,383.86,21.15,6.29,951.1
1998 10 19 12,0.48,0.47,0,329.26,20.11,8.35,1107.63
1998 10 20 12,0.05,0.14,0.5,278.57,21.88,12.21,1416.81
1998 10 21 12,0.08,0,0,354.22,21.72,8.27,1103.13
1998 10 22 12,0.05,0,0,376.25,17.66,2.96,757.03
1998 10 23 12,0.02,0,0,399.59,14.04,-2.46,512.39
1998 10 24 12,0.02,0,0,409.61,16.37,-1.92,533.66
1998 10 25 12,0,0,0,407.19,20.48,1.06,654.72
1998 10 26 12,0,0,0,396.6,21.44,2.67,742.68
1998 10 27 12,0,0,0,394.34,22.64,3.39,780.64
1998 10 28 12,0.11,0,0,385.82,22.79,4.02,814.02
1998 10 29 12,0.29,0,0,366.42,23.25,5.76,921.23
1998 10 30 12,0,0,0,337.95,23.88,8.11,1088.77
1998 10 31 12,0,0,0,336.22,24.46,8.43,1114.12
1998 11 01 12,0,0.26,0,352.32,23.12,5.88,928.4
1998 11 02 12,4.94,11.09,0,309,21.16,7.28,1023.48
1998 11 03 12,9.63,3.79,14.81,137.44,18.04,10.54,1283.58
1998 11 04 12,0.15,0.77,0,307.75,19.29,5.31,893.21
1998 11 05 12,1,0.24,2.01,244.13,14.79,4.3,834.63
1998 11 06 12,0,0,0,175.6,9.25,2.17,718.17
1998 11 07 12,0,0.45,0,265.96,9.71,-1.89,534.84
1998 11 08 12,2.11,2.07,1.07,245.02,9.88,-0.53,588.61
1998 11 09 12,5.97,3.81,3.24,94.94,9.73,4.72,858.66
1998 11 10 12,12.81,40.25,6.37,96.81,13.91,8.8,1144.02
1998 11 11 12,39.45,13.07,56.39,157.55,16.29,7.42,1039.36
1998 11 12 12,0.01,3.62,0,329.24,15.37,-0.76,580.21
1998 11 13 12,0.42,4.39,0,310.19,14.96,0.33,626.47
1998 11 14 12,14.1,16.97,5.9,117.18,12.96,6.58,972.47
1998 11 15 12,12.85,5.75,22.19,119.07,14.55,8.06,1084.41
1998 11 16 12,21.92,16.76,0,303.45,17.96,3.71,800.34
1998 11 17 12,1.9,5.54,21.23,183.34,15.42,4.93,871.27
1998 11 18 12,0,0,0,323.57,18.21,1.76,693.94
1998 11 19 12,0,0.01,0,256.54,14.18,2.87,753
1998 11 20 12,1.06,0.45,0,167.94,13.64,6.72,982.11
1998 11 21 12,0.27,0.15,0.19,296.53,14.22,0.32,625.48
1998 11 22 12,0.08,0.14,0,311.43,12,-3.03,488.46
1998 11 23 12,1.1,1.25,0,313.72,13.17,-2.26,519.62
1998 11 24 12,0.04,0.41,2,215.79,15.18,6.09,939.28
1998 11 25 12,0,0.75,0,265.96,19.33,7.17,1014.58
1998 11 26 12,1.85,0.25,1.18,278.91,15.53,2.88,750.84
1998 11 27 12,0.05,0,0,315.08,16.69,0.64,637.83
1998 11 28 12,0,0,0,328.69,18.44,0.17,616.32
1998 11 29 12,0,0,0,330.01,19.48,0.38,625.01
1998 11 30 12,0,0.06,0,325.91,19.94,1.1,659.61
1998 12 01 12,0.21,0.02,0,297.05,18.6,3.53,788.94
1998 12 02 12,0,0,0,322.85,19.72,0.87,649.1
1998 12 03 12,0,0,0,309.17,18.81,1.59,684.62
1998 12 04 12,0.11,0.64,0,295.91,19.39,3.44,782.29
1998 12 05 12,0.51,0.27,0.63,278.9,19.11,4.62,852.22
1998 12 06 12,0.04,0.11,0,232.65,19.76,8.43,1114.66
1998 12 07 12,0.75,3.05,0,226.15,20.71,9.59,1206.88
1998 12 08 12,12.11,9.77,5.95,113.6,20.68,13.61,1561.36
1998 12 09 12,2.83,2.93,13.17,208.1,19.36,4,819.97
1998 12 10 12,0.37,0.86,0,291.49,14.35,-1.85,536.3
1998 12 11 12,0.48,1.61,1.14,239.52,12.09,-0.62,586.38
1998 12 12 12,2.12,26.47,4.56,95.77,10.17,4.99,872.73
1998 12 13 12,42.9,10.51,31.64,108.85,10.68,4.24,828.36
1998 12 14 12,0.15,0.61,4.76,148.7,12.82,4.68,856.4
1998 12 15 12,0.19,0.55,0,290.58,10.94,-4.99,423.95
1998 12 16 12,0.26,0.19,0.7,283.48,10.54,-4.57,437.59
1998 12 17 12,0.03,0,0,282.78,14.38,-1.39,555.66
1998 12 18 12,2.89,0.43,0,237.12,4.95,-6.5,374.25
1998 12 19 12,9.68,10.15,0,259.77,7.37,-5.69,401.23
1998 12 20 12,0.21,3.82,12.15,123.48,9.08,1.44,678.46
1998 12 21 12,0.97,2.94,2.41,190.01,15.04,4.75,861.51
1998 12 22 12,10.26,2,7.43,118.7,15.98,8.46,1117.07
1998 12 23 12,21.29,32.5,7.8,168.36,11,0.32,621.1
1998 12 24 12,28.18,18.62,40.3,54.08,2.22,-0.59,584.94
1998 12 25 12,5.57,2.67,12.12,83.03,3.15,-1.38,555.28
1998 12 26 12,0,0.01,0,122.92,2.25,-2.71,503.93
1998 12 27 12,1.92,0.11,0,244.71,6.8,-4.15,440.45
1998 12 28 12,5.6,5.14,0,216.76,5.65,-3.44,478.01
1998 12 29 12,0.81,1.88,7.21,138.41,5.93,-1.32,558.09
1998 12 30 12,0.37,0.06,0,262.82,7.07,-4.01,457.92
1998 12 31 12,0.01,0.62,0,176.72,2,-4.48,442.12
1999 01 01 12,0,0.4,0,253.06,6.84,-4.48,440.02
1999 01 02 12,19.49,30.31,0,263.63,8.24,-3.59,471.38
1999 01 03 12,26.9,10.08,44.59,105.85,3.31,-2.23,520.6
1999 01 04 12,0.01,0,0,297.77,2.43,-11.63,251.68
1999 01 05 12,0,0,0,251.12,-3.89,-14.37,203.97
1999 01 06 12,0.08,1.15,0,255.46,-2.79,-13.48,216.26
1999 01 07 12,1.78,5.75,4.55,197.8,2.49,-7.22,354.9
1999 01 08 12,9,7.69,7.73,168.15,9.73,1.24,658.89
1999 01 09 12,9.79,2.12,9.23,112.33,8.87,3,760.08
1999 01 10 12,0,0.05,0,333.94,8.4,-9.57,293.36
1999 01 11 12,0,0,0,285.19,4.31,-8.18,329.18
1999 01 12 12,0,0.09,0,291.32,8.91,-4.36,440
1999 01 13 12,0.04,3.36,0,263.98,10.84,-0.57,594.78
1999 01 14 12,9.36,19.13,5.81,146.54,10.98,3.12,768.53
1999 01 15 12,20.31,6.33,24.43,210.18,11.34,-1.04,568.87
1999 01 16 12,0,0.66,0,294.04,9.32,-3.84,453.05
1999 01 17 12,1.14,11.29,0.1,322.97,12.76,-2.91,486.94
1999 01 18 12,14.82,3.87,16.69,172.47,11.58,2.35,725.09
1999 01 19 12,0,0.06,0,313.07,12.36,-2.08,526.7
1999 01 20 12,0.24,0,0,329.74,14.91,-1.11,566.57
1999 01 21 12,0.31,0.65,0,312.32,16.19,1.95,703.62
1999 01 22 12,0.99,7.98,2.45,203.13,14.88,5.71,920.6
1999 01 23 12,54.34,42.47,22.05,76.83,15.53,11.67,1373.8
1999 01 24 12,11.07,13.5,55.96,173.26,14.77,5.75,923.19
1999 01 25 12,0,0.07,0,309.59,12.06,-1.24,562
1999 01 26 12,0,0,0,356.09,17.09,-0.84,575.24
1999 01 27 12,0.07,0.12,0,335.85,14.27,-0.82,575.18
1999 01 28 12,0,0.07,0,369.5,21.66,1.19,655.44
1999 01 29 12,0.12,6.71,0,334.62,20.15,4.85,866.46
1999 01 30 12,15.71,9.04,13.17,203.48,16.1,5.48,905.27
1999 01 31 12,22.61,48.55,16.05,179.6,9.38,0.84,649.82
1999 02 01 12,61.85,28.15,52.98,136.39,4.11,-1.87,536.08
1999 02 02 12,2.07,4.25,16.04,97.27,5.47,1.33,673.85
1999 02 03 12,0.02,0.91,0,343.21,13.24,-0.52,588.77
1999 02 04 12,1.69,0.3,1.88,339.4,13.86,-0.32,597.17
1999 02 05 12,0.04,0,0,379.82,14.53,-2.74,499.22
1999 02 06 12,0,0.13,0,390.68,16.19,-2.73,500.22
1999 02 07 12,2.64,1.6,0,342.39,15.56,1.59,686.96
1999 02 08 12,0.41,0.6,0.43,299.91,16.48,4.4,833.13
1999 02 09 12,0.37,8.42,0,377.27,19.22,2.07,710.6
1999 02 10 12,15.69,4.96,12.64,256.41,17.77,3.68,797.14
1999 02 11 12,2.31,1.34,4.43,211.62,17.09,6.66,985.32
1999 02 12 12,0.39,0.21,1.07,168.55,14.78,9.02,1161.31
1999 02 13 12,0,0.06,0,401.78,13.45,-4.35,445.12
1999 02 14 12,0,0.02,0,304.55,0.4,-10.02,286.35
1999 02 15 12,0,0.02,0,383.68,8,-7.18,358.83
1999 02 16 12,0,3.01,0,417.71,13.29,-5.44,411.87
1999 02 17 12,24.27,31.01,12.96,298.09,14.79,-2.29,519.12
1999 02 18 12,20.76,13.01,36.69,169.78,11.55,3.98,813.79
1999 02 19 12,14.94,10.39,10.04,240.96,13.63,2.29,722.1
1999 02 20 12,0.15,3.63,14.71,203.37,6.72,-1.93,532.52
1999 02 21 12,0,0.19,0,356.07,10.06,-2.25,518.83
1999 02 22 12,0,0.03,0,383.08,4.18,-9.49,296.19
1999 02 23 12,0.08,1.02,0,369.84,4.66,-8.24,329.08
1999 02 24 12,0.9,0.34,0.92,262.1,2.2,-5.58,404.74
1999 02 25 12,0,0,0,354.81,6.08,-5.08,421.28
1999 02 26 12,0.33,1.98,0,429.84,11.07,-4.24,447.87
1999 02 27 12,3.77,14.5,4.33,361.61,14.81,-1.93,532.99
1999 02 28 12,20.01,7.64,22.83,198.86,13.69,5.68,916.04
1999 03 01 12,1.8,1.13,2.49,294.17,11.64,0.35,628.7
1999 03 02 12,0.13,11.02,0,428.34,13.11,-2.43,512.47
1999 03 03 12,21.37,6.01,14.78,333.67,17.63,-0.35,596.64
1999 03 04 12,0.86,0.83,3.42,367.62,9.01,-6.23,385.84
1999 03 05 12,0,2.19,0,457.24,9.16,-6.13,388.74
1999 03 06 12,3.47,0.73,4.13,336.26,11.47,-3.57,470.66
1999 03 07 12,0.04,0,0,471.29,13.74,-2.52,510.57
1999 03 08 12,0.04,10.73,0,470.62,10.64,-5.15,417.73
1999 03 09 12,9.14,5.69,16.31,243.61,4.63,-4.4,443.33
1999 03 10 12,2.01,0.71,5.99,155.72,2.38,-2.95,492.14
1999 03 11 12,1.03,0,0,465.85,9.93,-5.01,423.4
1999 03 12 12,0.81,0.34,0,490.93,12.39,-4.75,431.95
1999 03 13 12,0.32,12.66,0,492,14.52,-3.2,484.63
1999 03 14 12,25,12.83,17.59,155.89,5.67,0.03,611.01
1999 03 15 12,2.65,2.94,11.44,249.25,8.03,-1.22,561.94
1999 03 16 12,0,0.02,0,495.66,14.33,-3.61,464.28
1999 03 17 12,0,0,0,520.85,19.04,-2.47,511.29
1999 03 18 12,0,0,0,509.27,23.11,2.38,724.9
1999 03 19 12,0,0,0,493.05,21.54,2.93,755.02
1999 03 20 12,0,8.93,0,479.69,21,3.54,787.79
1999 03 21 12,14.25,4.71,13.99,288.07,17.7,5.61,913.98
1999 03 22 12,0.14,0.58,1.6,425.3,14.29,-0.91,574.28
1999 03 23 12,0.04,0.08,0,487.61,16.84,-0.88,574.37
1999 03 24 12,1.8,2.09,0,473.16,18.51,1.58,683.46
1999 03 25 12,1.65,12,2.51,395.14,19.28,2.95,756.3
1999 03 26 12,14.76,12.18,16.66,221.76,12.84,4.07,822.1
1999 03 27 12,7,2.82,11.77,211.56,6.06,-1.92,533.73
1999 03 28 12,2.61,0.73,0,485.5,13.75,-3.05,489.58
1999 03 29 12,1.91,0.92,2.25,430.34,17.73,1.97,704.19
1999 03 30 12,0.25,0.76,2.87,412.59,15.9,0.47,633.62
1999 03 31 12,17.67,60.56,10.19,308.1,16.53,3.41,786.53
1999 04 01 12,61.44,20.19,79.55,221.47,14.42,5.85,930.58
1999 04 02 12,0,0.02,0,460.74,21.78,6.17,945.46
1999 04 03 12,0.03,0,0,477.79,25.23,8.1,1087.6
1999 04 04 12,0.02,0,0,444.49,27.08,11.59,1367.5
1999 04 05 12,0.01,0.68,0,498.98,27.63,8.63,1130.76
1999 04 06 12,1.3,0.74,1.1,468.99,27.01,9.8,1224.04
1999 04 07 12,0.29,0.21,0.85,425.18,19.7,6.11,943.98
1999 04 08 12,3.37,1.27,0,508.52,27.15,7.63,1051.61
1999 04 09 12,0.38,0.81,3.62,280.94,24.31,12.78,1467.39
1999 04 10 12,0,0.13,0,395.24,26.28,13.2,1510.91
1999 04 11 12,0,0,0,414.85,27.99,13.95,1595.64
1999 04 12 12,0,0,0,493.59,27.38,9.26,1181.15
1999 04 13 12,0,0.04,0,526.03,20.08,0.68,641.24
1999 04 14 12,0.51,4.09,0,485.41,19.53,2.77,747.29
1999 04 15 12,9.33,5.83,8.31,271.19,17.49,6.52,970.01
1999 04 16 12,0.05,1.49,6.68,335.96,18.83,4.49,845.35
1999 04 17 12,0,0,0,450.68,16.12,2.2,717.71
1999 04 18 12,0,0.17,0,448.37,13.74,0.25,618.04
1999 04 19 12,0,3.01,0,493.05,15.75,0.07,606.06
1999 04 20 12,4.94,0.98,4.7,391.02,19.72,1.63,685.72
1999 04 21 12,0.07,0,0,521.7,23.03,4.57,846.96
1999 04 22 12,0,0,0,544.31,26.91,5.85,926.93
1999 04 23 12,0,0.6,0,496.35,26.32,8.92,1153.49
1999 04 24 12,0.03,1.48,0,478.77,27.24,10.73,1298.15
1999 04 25 12,1.25,0.53,2.17,453.72,27.4,10.99,1319.37
