Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 03 11 12	41817.6	0	486.14	0	6.46	6.46	571.42
1980 03 12 12	41836.52	24.36	172.17	0	0.59	0.59	433.4
1980 03 13 12	42163.2	12.8	452.28	0	3.12	3.12	640.5
1980 03 14 12	42163.2	0.23	499.24	0	2.43	2.43	557.44
1980 03 15 12	42508.8	0	496.96	0	4.38	4.38	408.6
1980 03 16 12	42508.8	2.7	357.75	0	6.71	6.71	642.77
1980 03 17 12	42508.8	63.72	144.62	0	10.08	10.08	1112
1980 03 18 12	42854.4	12.62	499.56	0	8.44	8.44	870.39
1980 03 19 12	42854.4	0.33	437.86	0	5.85	5.85	574.48
1980 03 20 12	43200	55.81	198.15	0	9.89	9.89	1132.39
1980 03 21 12	43200	37.25	403.89	0	10.34	10.34	1098.53
1980 03 22 12	43200	0.01	521.43	0	3.37	3.37	473.03
1980 03 23 12	43545.6	0.26	443.92	0	5.93	5.93	467.37
1980 03 24 12	43545.6	27.86	244.05	0	7.46	7.46	856.04
1980 03 25 12	43891.2	1.24	473.65	0	8.72	8.72	877.39
1980 03 26 12	43891.2	0	388.18	0	9.96	9.96	936.66
1980 03 27 12	43891.2	0.31	473.85	0	9.76	9.76	928.78
1980 03 28 12	44236.8	51.51	135.59	0	6.66	6.66	885.77
1980 03 29 12	44236.8	4.66	483.97	0	10.86	10.86	1059.86
1980 03 30 12	44563.48	10.36	343.67	0	11.13	11.13	1187.02
1980 03 31 12	44582.4	0.26	430.29	0	9.08	9.08	977.21
1980 04 01 12	44582.4	0	498.85	0	7.7	7.7	824.45
1980 04 02 12	44928	0	440.41	0	11.76	11.76	1051.3
1980 04 03 12	44928	0.12	419.53	0	13.7	13.7	1261.41
1980 04 04 12	44928	2.28	510.46	0	14.43	14.43	1275.73
1980 04 05 12	45273.6	0	540.14	0	4.79	4.79	609.97
1980 04 06 12	45273.6	0.99	495.34	0	6.46	6.46	604.65
1980 04 07 12	45619.2	4.72	263.28	0	9.66	9.66	949.2
1980 04 08 12	45619.2	38.36	206.32	0	11	11	1202.57
1980 04 09 12	45619.2	2.45	524.34	0	11.91	11.91	1033.92
1980 04 10 12	45964.8	0	529.44	0	9.33	9.33	749.23
1980 04 11 12	45964.8	0.23	538.09	0	11.36	11.36	753.22
1980 04 12 12	46148.85	47.69	155.27	0	10	10	1054.22
1980 04 13 12	46310.4	35.9	183.45	0	12.17	12.17	1318.4
1980 04 14 12	46310.4	31.93	358.56	0	12.67	12.67	1306.84
1980 04 15 12	46656	0	259.67	0	4.07	4.07	642.05
1980 04 16 12	46656	1.22	546.64	0	6.6	6.6	662.43
1980 04 17 12	46656	0	551.72	0	7.08	7.08	614.31
1980 04 18 12	47001.6	0	489.61	0	10.41	10.41	842.49
1980 04 19 12	47001.6	0	468.77	0	13.28	13.28	1014.78
1980 04 20 12	47001.6	0	538.68	0	13.54	13.54	1004.49
1980 04 21 12	47347.2	0	539.32	0	14.46	14.46	990.97
1980 04 22 12	47347.2	0	547.25	0	15.16	15.16	978.64
1980 04 23 12	47531.25	0	539.2	0	17.1	17.1	1142.59
1980 04 24 12	47692.8	0.05	486.89	0	17.71	17.71	1360.76
1980 04 25 12	47692.8	2.19	469.41	0	17.12	17.12	1435.54
1980 04 26 12	47962.35	12.71	290.9	0	16.43	16.43	1516.62
1980 04 27 12	48038.4	5.26	457.24	0	14.92	14.92	1337.9
1980 04 28 12	48038.4	0.33	368.82	0	8.83	8.83	864.44
1980 04 29 12	48365.09	2.09	343.6	0	8.95	8.95	835.91
1980 04 30 12	48384	0	479.42	0	8.89	8.89	812.07
1980 05 01 12	48384	0	552.9	0	10.98	10.98	888.56
1980 05 02 12	48653.56	0	520.89	0	13.98	13.98	1024.35
1980 05 03 12	48729.6	0.36	491.51	0	14.67	14.67	1080.25
1980 05 04 12	48729.6	0	580.26	0	16.12	16.12	1152.58
1980 05 05 12	48913.65	2.76	536.86	0	16.78	16.78	1158.93
1980 05 06 12	49075.2	1.17	569.47	0	16.88	16.88	1146.11
1980 05 07 12	49075.2	3.37	490.41	0	17.3	17.3	1329.74
1980 05 08 12	49075.2	2.74	398.63	0	15.47	15.47	1335.19
1980 05 09 12	49420.8	0	526.58	0	9.96	9.96	867.97
1980 05 10 12	49420.8	0	510.1	0	12.02	12.02	990.36
1980 05 11 12	49420.8	0	579.71	0	15.5	15.5	1262.51
1980 05 12 12	49690.35	0.01	569.3	0	19.77	19.77	1664.35
1980 05 13 12	49766.4	0.02	325.65	0	19.57	19.57	1589.69
1980 05 14 12	49766.4	0	478.97	0	19.2	19.2	1654.31
1980 05 15 12	49766.4	0	549.64	0	18.18	18.18	1476.2
1980 05 16 12	50112	8.39	191.66	0	15.99	15.99	1560.37
1980 05 17 12	50112	50.1	200.66	0	13.39	13.39	1400.36
1980 05 18 12	50112	20.33	512.25	0	16.01	16.01	1564.48
1980 05 19 12	50112	11.99	295.26	0	18.98	18.98	1760.12
1980 05 20 12	50457.6	22.84	291.94	0	17.32	17.32	1667.45
1980 05 21 12	50457.6	1.13	483.29	0	16.43	16.43	1400.8
1980 05 22 12	50457.6	26.63	259.25	0	16.12	16.12	1570.67
1980 05 23 12	50457.6	31.21	361.35	0	17.9	17.9	1707.07
1980 05 24 12	50641.65	15.01	370.03	0	17.91	17.91	1663.63
1980 05 25 12	50803.2	2.46	473.1	0	16.55	16.55	1466.12
1980 05 26 12	50803.2	0.1	573.32	0	18.5	18.5	1571.53
1980 05 27 12	50803.2	0.12	585.35	0	18.61	18.61	1490.81
1980 05 28 12	50803.2	0	410.32	0	19.93	19.93	1815.9
1980 05 29 12	50987.25	8.06	450.82	0	21.01	21.01	1943.27
1980 05 30 12	51148.8	1.11	509.41	0	21.04	21.04	1876.65
1980 05 31 12	51148.8	0.03	424.42	0	20.13	20.13	1825.79
1980 06 01 12	51148.8	0	474.45	0	20.94	20.94	1951.57
1980 06 02 12	51148.8	0	413.18	0	21.43	21.43	1944.78
1980 06 03 12	51148.8	0	462.42	0	22.51	22.51	2073.93
1980 06 04 12	51174.88	0	557.76	0	22.63	22.63	1967.08
1980 06 05 12	51418.35	0	549.31	0	20.71	20.71	1608.41
1980 06 06 12	51494.4	0	382.67	0	21.23	21.23	1973.84
1980 06 07 12	51494.4	0	507.11	0	23.82	23.82	2301.97
1980 06 08 12	51494.4	0	536.82	0	22.65	22.65	2021.89
1980 06 09 12	51494.4	0	552.89	0	15.56	15.56	1148.93
1980 06 10 12	51494.4	0	570.28	0	15.74	15.74	1244.77
1980 06 11 12	51494.4	0	544.98	0	18.65	18.65	1454.05
1980 06 12 12	51494.4	0	499.91	0	18.85	18.85	1515.62
1980 06 13 12	51494.4	0	350.36	0	18.99	18.99	1781.62
1980 06 14 12	51494.4	0	448.17	0	20.49	20.49	1793.67
1980 06 15 12	51520.47	0	558.52	0	22.13	22.13	1824.27
1980 06 16 12	51590.91	6.01	468	0	22.09	22.09	1929.05
1980 06 17 12	51590.91	8.95	438.44	0	22.09	22.09	1974.41
1980 06 18 12	51678.45	27.83	312.69	0	20.42	20.42	1819.51
1980 06 19 12	51678.45	0.64	471.96	0	19.84	19.84	1741.23
1980 06 20 12	51678.45	0	562.38	0	21.48	21.48	1898.35
1980 06 21 12	51678.45	0	311.64	0	19.05	19.05	1602.58
1980 06 22 12	51678.45	0.22	465.24	0	19.02	19.02	1742.5
1980 06 23 12	51678.45	13.17	321.88	0	19.78	19.78	1868.3
1980 06 24 12	51590.91	46.82	295.46	0	18.83	18.83	1930.67
1980 06 25 12	51520.47	21.45	338.84	0	17.91	17.91	1824.24
1980 06 26 12	51520.47	0.41	523.52	0	19.99	19.99	1928.53
1980 06 27 12	51494.4	0	549.32	0	22.7	22.7	2080.54
1980 06 28 12	51494.4	0	539.59	0	23.87	23.87	2062.22
1980 06 29 12	51494.4	2.8	393.6	0	22.96	22.96	2151.71
1980 06 30 12	51494.4	0.45	563.12	0	20.95	20.95	1664.3
1980 07 01 12	51494.4	0.13	556.79	0	19.21	19.21	1480.97
1980 07 02 12	51494.4	0	566.83	0	22.44	22.44	1941.04
1980 07 03 12	51494.4	3.8	499.83	0	24.34	24.34	2272.5
1980 07 04 12	51494.4	0.67	493.24	0	24.96	24.96	2376.47
1980 07 05 12	51475.48	2.7	500.99	0	25.74	25.74	2522.45
1980 07 06 12	51332.85	1.59	565.25	0	25.73	25.73	2289.54
1980 07 07 12	51148.8	0	583.62	0	23.23	23.23	1828.87
1980 07 08 12	51148.8	0.03	570.67	0	23.73	23.73	2028.93
1980 07 09 12	51148.8	0.42	506.44	0	26.35	26.35	2570.43
1980 07 10 12	51148.8	2.18	485.82	0	25.98	25.98	2422.19
1980 07 11 12	51148.8	0.73	477.7	0	25.97	25.97	2430.11
1980 07 12 12	51072.75	0.02	517.39	0	26.26	26.26	2239.97
1980 07 13 12	50829.27	0.71	527.13	0	26.91	26.91	2387.94
1980 07 14 12	50803.2	0	422.89	0	24.91	24.91	2387.95
1980 07 15 12	50803.2	0.33	549.13	0	25.74	25.74	2507.5
1980 07 16 12	50803.2	0.17	562.2	0	26.94	26.94	2248.7
1980 07 17 12	50803.2	0.26	550.73	0	27.69	27.69	2328.56
1980 07 18 12	50483.68	0.78	522.99	0	26.48	26.48	2375.68
1980 07 19 12	50457.6	0	504.25	0	25.14	25.14	2424.1
1980 07 20 12	50457.6	0	450.15	0	24.66	24.66	2325.71
1980 07 21 12	50457.6	2.13	462.22	0	24.15	24.15	2242.92
1980 07 22 12	50296.05	11.32	355.14	0	23.22	23.22	2178.73
1980 07 23 12	50112	12.86	352.57	0	22.33	22.33	2113.11
1980 07 24 12	50112	3.58	328.72	0	21.73	21.73	1993.54
1980 07 25 12	50112	3.8	439.99	0	21.28	21.28	1990.78
1980 07 26 12	49950.45	7.25	486.67	0	21.79	21.79	2017.41
1980 07 27 12	49766.4	2.77	413.44	0	22.53	22.53	1944.18
1980 07 28 12	49766.4	3.86	493.02	0	22.36	22.36	2047.39
1980 07 29 12	49766.4	0.02	581.03	0	22.03	22.03	1822.83
1980 07 30 12	49446.88	0	575.83	0	22.87	22.87	1880.61
1980 07 31 12	49420.8	0	534.42	0	25.25	25.25	1967.84
1980 08 01 12	49420.8	7.9	284.57	0	24.88	24.88	2081.45
1980 08 02 12	49344.75	1.14	545.67	0	25.26	25.26	2037.94
1980 08 03 12	49075.2	0.12	505.3	0	24.06	24.06	2089.87
1980 08 04 12	49075.2	1.21	409.11	0	23.36	23.36	2024.13
1980 08 05 12	49075.2	0.72	497.89	0	23.14	23.14	1971.82
1980 08 06 12	48729.6	0.26	552.99	0	24.71	24.71	1882.46
1980 08 07 12	48729.6	0.03	546.18	0	25.82	25.82	2054.4
1980 08 08 12	48729.6	2.03	525.4	0	26.58	26.58	2133
1980 08 09 12	48384	0.48	543	0	26.54	26.54	2088.49
1980 08 10 12	48384	0.23	482.19	0	26.29	26.29	2127.61
1980 08 11 12	48384	3.73	461.07	0	24.99	24.99	2247.54
1980 08 12 12	48038.4	0.45	415.2	0	23.93	23.93	2193.49
1980 08 13 12	48038.4	0.51	542.74	0	23.81	23.81	2086.97
1980 08 14 12	48038.4	1.5	519.13	0	24.62	24.62	2018.24
1980 08 15 12	47692.8	3.19	426.59	0	24.26	24.26	2221.12
1980 08 16 12	47692.8	2.23	439.47	0	24	24	2206.9
1980 08 17 12	47692.8	4.39	440.22	0	24.09	24.09	2233.55
1980 08 18 12	47347.2	1.34	493.21	0	22.7	22.7	2123.3
1980 08 19 12	47347.2	8.6	338.99	0	23.74	23.74	2229.13
1980 08 20 12	47347.2	3.13	501.66	0	24.52	24.52	2189.1
1980 08 21 12	47001.6	2.01	496.93	0	25.7	25.7	2199.99
1980 08 22 12	47001.6	9.39	296.98	0	24.49	24.49	2362.44
1980 08 23 12	46925.56	0.01	352.19	0	21.79	21.79	2163.01
1980 08 24 12	46656	3.42	415.32	0	21.16	21.16	1932.2
1980 08 25 12	46656	0.33	435.37	0	20.65	20.65	1851.61
1980 08 26 12	46310.4	0	559.59	0	21.32	21.32	1591.66
1980 08 27 12	46310.4	0	538.64	0	21.11	21.11	1578.36
1980 08 28 12	46310.4	0.01	518.38	0	22	22	1683.16
1980 08 29 12	45964.8	2.01	377.9	0	21.8	21.8	1768.09
1980 08 30 12	45964.8	15.87	353.8	0	21.51	21.51	1886.12
1980 08 31 12	45964.8	6.24	391.72	0	21.9	21.9	1945.1
1980 09 01 12	45619.2	3.05	382.16	0	22.61	22.61	2016.47
1980 09 02 12	45619.2	0.58	477.1	0	23.27	23.27	1963.46
1980 09 03 12	45273.6	4.36	433.47	0	24.2	24.2	2012.26
1980 09 04 12	45273.6	6.51	406.78	0	23.55	23.55	2131.85
1980 09 05 12	45273.6	4.3	395.79	0	22.78	22.78	2037.52
1980 09 06 12	44928	0.25	421.73	0	23.21	23.21	1972.54
1980 09 07 12	44928	0.06	464.68	0	23.47	23.47	1939.85
1980 09 08 12	44678.91	0.02	462.92	0	22.8	22.8	1755.74
1980 09 09 12	44582.4	0.07	435.23	0	22.96	22.96	1889.95
1980 09 10 12	44582.4	13.95	434.22	0	23.31	23.31	1998.05
1980 09 11 12	44236.8	0.53	507.53	0	20.84	20.84	1773.21
1980 09 12 12	44236.8	0	500.25	0	22.02	22.02	1880.76
1980 09 13 12	44236.8	0	495.18	0	21.45	21.45	1725.75
1980 09 14 12	43891.2	0.01	395.13	0	21.89	21.89	1741.57
1980 09 15 12	43891.2	0	497	0	22.12	22.12	1764.94
1980 09 16 12	43545.6	0	494.22	0	21.09	21.09	1579.34
1980 09 17 12	43545.6	16.97	263.82	0	19.88	19.88	1774.96
1980 09 18 12	43545.6	1	403.83	0	19.36	19.36	1817.82
1980 09 19 12	43200	6.59	327.96	0	20.7	20.7	1869.29
1980 09 20 12	43200	14.25	310.77	0	20.22	20.22	1976.92
1980 09 21 12	42854.4	1.21	386.19	0	21.55	21.55	2003.85
1980 09 22 12	42854.4	0.31	428.44	0	22.65	22.65	2035.88
1980 09 23 12	42854.4	7.93	413.15	0	23.13	23.13	1983.77
1980 09 24 12	42508.8	7.21	374.87	0	23.02	23.02	1967.3
1980 09 25 12	42508.8	30.38	265.06	0	21.97	21.97	2051.86
1980 09 26 12	42163.2	1.43	447.67	0	19.89	19.89	1618.57
1980 09 27 12	42163.2	0.64	369.71	0	16.12	16.12	1077.36
1980 09 28 12	42163.2	51.03	136.13	0	13.09	13.09	1257.07
1980 09 29 12	41817.6	38.71	139.49	0	12.4	12.4	1333.73
1980 09 30 12	41817.6	21.65	200.32	0	13.78	13.78	1430.2
1980 10 01 12	41721.09	4.03	231.08	0	14.39	14.39	1466.92
1980 10 02 12	41472	0.03	425.03	0	16.3	16.3	1543.92
1980 10 03 12	41472	0	487.35	0	14.72	14.72	1091.54
1980 10 04 12	41126.4	0.66	464.47	0	8.62	8.62	764.45
1980 10 05 12	41126.4	2.8	307.52	0	10.26	10.26	980.53
1980 10 06 12	41126.4	0	486.93	0	7.47	7.47	781.05
1980 10 07 12	40780.8	0.01	474.66	0	10.48	10.48	797.73
1980 10 08 12	40780.8	0.01	464.29	0	14.13	14.13	1079.75
1980 10 09 12	40435.2	0.01	463	0	16.55	16.55	1358.91
1980 10 10 12	40435.2	0	459.96	0	18.16	18.16	1414.93
1980 10 11 12	40435.2	0	457.47	0	17.07	17.07	1320.31
1980 10 12 12	40089.6	0	473.89	0	9.45	9.45	652.77
1980 10 13 12	40089.6	0	471.8	0	7.53	7.53	622.53
1980 10 14 12	40089.6	0	456.81	0	10.57	10.57	691.39
1980 10 15 12	39744	0	443.3	0	12.66	12.66	938.27
1980 10 16 12	39744	0	444.72	0	15.32	15.32	1244.52
1980 10 17 12	39474.44	2.97	371.87	0	17.18	17.18	1516.86
1980 10 18 12	39398.4	10.5	251.03	0	18.19	18.19	1760.17
1980 10 19 12	39398.4	13.19	287.44	0	17.32	17.32	1492.64
1980 10 20 12	39052.8	0	450.97	0	10.86	10.86	825.19
1980 10 21 12	39052.8	0	436.77	0	10.25	10.25	761.74
1980 10 22 12	39052.8	0	432.32	0	12.08	12.08	833.88
1980 10 23 12	38707.2	0.38	294.35	0	11.19	11.19	949.17
1980 10 24 12	38707.2	4.32	149.99	0	9.17	9.17	1012.57
1980 10 25 12	38707.2	16.73	419.56	0	8.07	8.07	886.02
1980 10 26 12	38361.6	0	434.18	0	4.43	4.43	571.68
1980 10 27 12	38361.6	0.8	193.72	0	7.62	7.62	674.41
1980 10 28 12	38361.6	22.43	355.79	0	11.47	11.47	1185.73
1980 10 29 12	38016	0	285.47	0	12.74	12.74	1159.01
1980 10 30 12	38016	16.1	220.75	0	11.32	11.32	1201.16
1980 10 31 12	38016	0.07	416.01	0	9.07	9.07	815.53
1980 11 01 12	37670.4	0.01	379.97	0	9.49	9.49	626.8
1980 11 02 12	37670.4	0	376.92	0	11.32	11.32	733.64
1980 11 03 12	37670.4	0	174.58	0	10.16	10.16	837.69
1980 11 04 12	37324.8	8.91	344.62	0	12.04	12.04	1113.99
1980 11 05 12	37324.8	0	273.59	0	8.27	8.27	656.68
1980 11 06 12	37324.8	0	367.82	0	5.92	5.92	550.65
1980 11 07 12	37055.25	0	358.22	0	9.13	9.13	738.53
1980 11 08 12	36979.2	0	354.21	0	14	14	1178.86
1980 11 09 12	36979.2	0	352.12	0	14.52	14.52	1315.95
1980 11 10 12	36953.12	0	357.27	0	14.33	14.33	1063.56
1980 11 11 12	36633.6	0	361.44	0	8.67	8.67	448.86
1980 11 12 12	36633.6	0	363.75	0	6.52	6.52	325.9
1980 11 13 12	36633.6	0	356.69	0	9.06	9.06	421.88
1980 11 14 12	36449.55	2.86	153.43	0	9.59	9.59	741.9
1980 11 15 12	36288	19.53	114.96	0	12.93	12.93	1361.65
1980 11 16 12	36288	0.39	285.07	0	12.35	12.35	1258.43
1980 11 17 12	36288	13.21	151.79	0	6.47	6.47	873.25
1980 11 18 12	36103.95	1.81	285.89	0	7.9	7.9	902.47
1980 11 19 12	35942.4	0	351.18	0	0.68	0.68	410.08
1980 11 20 12	35942.4	0	339.76	0	2.01	2.01	405.04
1980 11 21 12	35942.4	0	344.54	0	2.6	2.6	421.78
1980 11 22 12	35916.32	0	318.47	0	3.87	3.87	350.31
1980 11 23 12	35596.8	10.12	86.95	0	5.14	5.14	649.74
1980 11 24 12	35596.8	18.22	266.21	0	11.01	11.01	1150.1
1980 11 25 12	35596.8	3.62	300.09	0	6.72	6.72	771.46
1980 11 26 12	35596.8	0.46	234.31	0	3.27	3.27	501.68
1980 11 27 12	35570.73	34.54	215.83	0	4.4	4.4	735.15
1980 11 28 12	35327.25	0.09	171.82	0	0.77	0.77	556.56
1980 11 29 12	35251.2	0	315.36	0	0.94	0.94	478.99
1980 11 30 12	35251.2	0	323.95	0	3.47	3.47	461.8
1980 12 01 12	35251.2	0	331.32	0	6.58	6.58	508.78
1980 12 02 12	35251.2	0	240.37	0	7.92	7.92	751.2
1980 12 03 12	35251.2	0.64	336.43	0	3.18	3.18	461.8
1980 12 04 12	35067.15	0	332.38	0	3.51	3.51	313.22
1980 12 05 12	34924.52	0	317.71	0	5.33	5.33	391.71
1980 12 06 12	34905.6	0	322.89	0	9.53	9.53	500.72
1980 12 07 12	34905.6	0	319.56	0	11.14	11.14	689.98
1980 12 08 12	34905.6	0	316.82	0	11.93	11.93	881.28
1980 12 09 12	34905.6	5.58	102.91	0	12.02	12.02	1180.83
1980 12 10 12	34905.6	5.02	261.07	0	11.05	11.05	1145.38
1980 12 11 12	34905.6	0	324.67	0	2.2	2.2	470.05
1980 12 12 12	34905.6	0	313.78	0	3.55	3.55	441.92
1980 12 13 12	34905.6	0	317.96	0	6.14	6.14	567.54
1980 12 14 12	34879.53	0	327.42	0	3.55	3.55	407.71
1980 12 15 12	34879.53	0	296.85	0	3.38	3.38	363.44
1980 12 16 12	34809.09	0.39	148.45	0	4.26	4.26	619.88
1980 12 17 12	34721.55	0	321.67	0	1.68	1.68	524.35
1980 12 18 12	34721.55	0	313.64	0	2.64	2.64	482.01
1980 12 19 12	34721.55	0	190.43	0	4.76	4.76	603.76
1980 12 20 12	34721.55	0	305.06	0	0.64	0.64	443.32
1980 12 21 12	34721.55	0.02	320.43	0	-3.54	-3.54	243.74
1980 12 22 12	34721.55	0.02	243.9	0	-3.22	-3.22	216.4
1980 12 23 12	34809.09	0.67	291.96	0	2.08	2.08	548.36
1980 12 24 12	34809.09	4.56	152.71	0	5.4	5.4	794.03
1980 12 25 12	34879.53	0.21	336.09	0	-4.38	-4.38	284.31
1980 12 26 12	34905.6	0	166.23	0	-5.44	-5.44	133.91
1980 12 27 12	34905.6	0.18	199.08	0	-2.83	-2.83	233.61
1980 12 28 12	34905.6	0.41	232.39	0	2.72	2.72	635.82
1980 12 29 12	34905.6	0.02	261.31	0	7.66	7.66	879.69
1980 12 30 12	34905.6	6.73	168.7	0	5.64	5.64	781.81
1980 12 31 12	34905.6	0.07	167.71	0	1.5	1.5	531.01
1981 01 01 12	34905.6	0	319.95	0	1.96	1.96	546.22
1981 01 02 12	34905.6	0.01	322.71	0	-1.07	-1.07	391.99
1981 01 03 12	34905.6	0	266.95	0	0.84	0.84	325.14
1981 01 04 12	34905.6	0	325.38	0	-1.21	-1.21	344.35
1981 01 05 12	34981.65	0	334.61	0	-7.24	-7.24	137.27
1981 01 06 12	35225.12	0.8	174.73	0	-3.55	-3.55	191.38
1981 01 07 12	35251.2	4.77	328.09	0	-0.64	-0.64	450.31
1981 01 08 12	35251.2	0	320.85	0	-3.18	-3.18	272.85
1981 01 09 12	35251.2	0	258.96	0	-0.47	-0.47	366.08
1981 01 10 12	35251.2	0	338.29	0	-3.81	-3.81	302.95
1981 01 11 12	35251.2	0	208.08	0	-6.54	-6.54	177.68
1981 01 12 12	35412.75	0	344.36	0	-10.24	-10.24	146.72
1981 01 13 12	35596.8	0	313.26	0	-5.17	-5.17	156.33
1981 01 14 12	35596.8	0	220.43	0	-0.13	-0.13	357.26
1981 01 15 12	35596.8	0	339.28	0	2.57	2.57	544.19
1981 01 16 12	35596.8	0	339.46	0	-0.41	-0.41	406.69
1981 01 17 12	35758.35	0	350.77	0	-6.64	-6.64	222.42
1981 01 18 12	35942.4	0	346.83	0	-3.8	-3.8	206.24
1981 01 19 12	35942.4	2.6	305.62	0	2.67	2.67	274.59
1981 01 20 12	35942.4	2.04	148.95	0	4.93	4.93	378.21
1981 01 21 12	35942.4	7.24	168.55	0	3.03	3.03	651.99
1981 01 22 12	36288	0	347.63	0	3.34	3.34	630.93
